"(61, 56)"
"(25, 19)"
"(38, 19)"
"(50, 53)"
"(87, 29)"
"(74, 39)"
"(66, 3)"
"(28, 67)"
"(74, 65)"
"(3, 42)"
"(11, 30)"
"(56, 9)"
"(58, 13)"
"(5, 15)"
"(13, 88)"
"(20, 62)"
"(7, 46)"
"(84, 78)"
"(9, 66)"
"(39, 10)"
"(53, 87)"
"(17, 28)"
"(2, 48)"
"(81, 76)"
"(86, 26)"
"(78, 44)"
"(51, 1)"
"(7, 26)"
"(32, 86)"
"(13, 7)"
"(2, 19)"
"(55, 41)"
"(84, 18)"
"(65, 36)"
"(28, 41)"
"(45, 0)"
"(2, 46)"
"(55, 11)"
"(39, 70)"
"(65, 69)"
"(88, 30)"
"(48, 80)"
"(74, 18)"
"(22, 63)"
"(6, 7)"
"(34, 10)"
"(87, 19)"
"(87, 14)"
"(87, 15)"
"(12, 79)"
"(5, 58)"
"(48, 78)"
"(55, 14)"
"(40, 34)"
"(0, 8)"
"(40, 7)"
"(30, 64)"
"(65, 54)"
"(33, 14)"
"(14, 44)"
"(0, 79)"
"(86, 26)"
"(38, 50)"
"(12, 13)"
"(40, 66)"
"(58, 61)"
"(66, 41)"
"(3, 62)"
"(12, 39)"
"(26, 14)"
"(75, 27)"
"(41, 42)"
"(57, 43)"
"(6, 67)"
"(14, 8)"
"(5, 63)"
"(3, 76)"
"(4, 75)"
"(24, 59)"
"(47, 31)"
"(65, 17)"
"(49, 29)"
"(84, 46)"
"(47, 3)"
"(71, 24)"
"(44, 62)"
"(10, 48)"
"(20, 55)"
"(11, 14)"
"(58, 64)"
"(0, 52)"
"(75, 24)"
"(73, 33)"
"(8, 13)"
"(34, 58)"
"(54, 58)"
"(71, 56)"
"(46, 52)"
"(59, 15)"
"(39, 72)"
