"(42, 44)"
"(10, 32)"
"(48, 9)"
"(8, 10)"
"(31, 35)"
"(50, 35)"
"(39, 41)"
"(11, 17)"
"(38, 41)"
"(25, 39)"
"(41, 19)"
"(3, 39)"
"(47, 46)"
"(9, 6)"
"(47, 34)"
"(25, 19)"
"(33, 31)"
"(14, 47)"
"(9, 22)"
"(14, 28)"
"(34, 41)"
"(22, 24)"
"(30, 8)"
"(47, 48)"
"(0, 45)"
"(35, 28)"
"(17, 22)"
"(6, 19)"
"(7, 36)"
"(37, 47)"
"(40, 50)"
"(23, 46)"
"(14, 22)"
"(50, 26)"
"(20, 27)"
"(29, 29)"
"(21, 35)"
"(18, 3)"
"(10, 40)"
"(38, 29)"
"(39, 4)"
"(10, 41)"
"(12, 32)"
"(21, 15)"
"(5, 16)"
"(32, 51)"
"(17, 51)"
"(32, 47)"
"(24, 41)"
"(45, 1)"
"(23, 41)"
"(6, 34)"
"(46, 37)"
"(30, 18)"
"(44, 5)"
"(47, 51)"
"(17, 23)"
"(46, 41)"
"(49, 3)"
"(26, 16)"
"(8, 32)"
"(18, 20)"
"(8, 32)"
"(48, 27)"
"(22, 19)"
"(25, 21)"
"(33, 15)"
"(47, 15)"
"(13, 19)"
"(45, 4)"
"(26, 4)"
"(20, 37)"
"(22, 34)"
"(36, 38)"
"(34, 43)"
"(38, 10)"
"(7, 50)"
"(23, 26)"
"(4, 41)"
"(2, 5)"
"(29, 51)"
"(24, 50)"
"(34, 49)"
"(36, 26)"
"(24, 26)"
"(12, 26)"
"(26, 35)"
"(15, 0)"
"(25, 28)"
"(39, 11)"
"(4, 21)"
"(19, 34)"
"(34, 14)"
"(17, 51)"
"(11, 22)"
"(40, 12)"
"(17, 18)"
"(48, 21)"
"(17, 24)"
"(29, 20)"
