"(20, 25, 9, 16)"
"(17, 22, 23, 20)"
"(22, 6, 1, 4)"
"(3, 20, 17, 11)"
"(14, 26, 13, 18)"
"(16, 7, 21, 15)"
"(2, 15, 14, 21)"
"(18, 18, 14, 4)"
"(5, 6, 1, 8)"
"(25, 19, 28, 1)"
"(17, 12, 14, 16)"
"(14, 27, 2, 9)"
"(13, 0, 13, 24)"
"(16, 26, 15, 8)"
"(8, 6, 5, 16)"
"(8, 23, 7, 2)"
"(1, 7, 18, 26)"
"(27, 3, 15, 21)"
"(18, 27, 20, 25)"
"(13, 8, 5, 15)"
"(13, 18, 10, 9)"
"(13, 28, 3, 20)"
"(4, 16, 26, 27)"
"(4, 28, 1, 22)"
"(1, 14, 21, 1)"
"(14, 17, 16, 26)"
"(14, 27, 11, 3)"
"(22, 6, 22, 24)"
"(8, 24, 0, 19)"
"(18, 12, 24, 7)"
"(8, 26, 21, 5)"
"(24, 26, 23, 14)"
"(0, 22, 27, 3)"
"(28, 14, 7, 19)"
"(15, 8, 15, 6)"
"(1, 28, 19, 2)"
"(7, 21, 13, 14)"
"(2, 14, 5, 8)"
"(3, 8, 19, 7)"
"(28, 22, 25, 6)"
"(19, 19, 18, 11)"
"(28, 4, 19, 18)"
"(15, 12, 16, 14)"
"(19, 14, 28, 14)"
"(2, 12, 24, 20)"
"(11, 23, 21, 28)"
"(1, 17, 18, 0)"
"(7, 26, 28, 17)"
"(12, 1, 27, 1)"
"(14, 0, 22, 0)"
"(6, 19, 1, 17)"
"(2, 18, 2, 3)"
"(5, 17, 9, 17)"
"(10, 3, 7, 15)"
"(0, 4, 22, 22)"
"(8, 15, 0, 8)"
"(19, 2, 2, 10)"
"(4, 12, 14, 22)"
"(22, 23, 1, 6)"
"(21, 27, 23, 7)"
"(17, 21, 21, 4)"
"(0, 9, 17, 21)"
"(4, 13, 23, 28)"
"(1, 21, 23, 7)"
"(22, 1, 25, 10)"
"(8, 28, 16, 27)"
"(17, 19, 10, 20)"
"(1, 8, 1, 19)"
"(4, 13, 16, 10)"
"(10, 5, 19, 14)"
"(1, 24, 8, 22)"
"(11, 13, 0, 3)"
"(3, 25, 14, 0)"
"(24, 18, 16, 13)"
"(4, 13, 12, 8)"
"(18, 24, 28, 12)"
"(4, 3, 12, 7)"
"(0, 3, 21, 7)"
"(25, 11, 22, 2)"
"(6, 3, 20, 0)"
"(25, 6, 2, 10)"
"(2, 1, 2, 10)"
"(3, 4, 17, 8)"
"(13, 15, 1, 13)"
"(7, 3, 25, 18)"
"(4, 20, 8, 15)"
"(11, 23, 28, 21)"
"(19, 26, 3, 17)"
"(26, 26, 14, 12)"
"(3, 9, 19, 17)"
"(3, 24, 15, 12)"
"(27, 13, 28, 7)"
"(12, 27, 27, 3)"
"(17, 0, 8, 12)"
"(21, 25, 13, 22)"
"(19, 8, 14, 15)"
"(0, 28, 4, 17)"
"(1, 7, 4, 10)"
"(22, 25, 10, 13)"
"(1, 26, 15, 10)"
