"(11, 19, 8, 11)"
"(15, 36, 14, 36)"
"(42, 42, 37, 37)"
"(3, 19, 42, 43)"
"(18, 27, 17, 35)"
"(33, 0, 13, 29)"
"(37, 17, 14, 13)"
"(22, 15, 44, 38)"
"(23, 39, 42, 3)"
"(3, 5, 1, 22)"
"(37, 1, 20, 20)"
"(36, 26, 9, 0)"
"(13, 11, 37, 30)"
"(0, 14, 24, 35)"
"(30, 5, 43, 32)"
"(36, 17, 37, 5)"
"(36, 9, 25, 17)"
"(14, 34, 4, 33)"
"(23, 23, 10, 34)"
"(24, 1, 7, 2)"
"(24, 41, 4, 34)"
"(34, 30, 14, 2)"
"(27, 2, 26, 39)"
"(37, 3, 19, 7)"
"(36, 14, 30, 1)"
"(5, 41, 41, 14)"
"(27, 33, 3, 7)"
"(25, 20, 6, 33)"
"(17, 36, 11, 36)"
"(21, 26, 40, 10)"
"(24, 2, 31, 41)"
"(40, 42, 37, 28)"
"(37, 3, 9, 40)"
"(36, 24, 33, 41)"
"(41, 35, 3, 9)"
"(37, 10, 44, 44)"
"(1, 38, 13, 12)"
"(34, 3, 8, 32)"
"(37, 31, 43, 16)"
"(6, 21, 32, 33)"
"(19, 25, 2, 42)"
"(33, 44, 35, 27)"
"(15, 36, 19, 39)"
"(2, 7, 8, 15)"
"(1, 25, 18, 10)"
"(12, 8, 33, 4)"
"(25, 25, 26, 24)"
"(5, 34, 25, 3)"
"(22, 11, 44, 44)"
"(0, 16, 9, 14)"
"(35, 20, 9, 31)"
"(41, 7, 23, 18)"
"(10, 25, 6, 41)"
"(10, 26, 38, 11)"
"(19, 41, 11, 42)"
"(38, 33, 42, 25)"
"(26, 6, 14, 32)"
"(14, 42, 21, 3)"
"(13, 15, 43, 5)"
"(34, 40, 44, 1)"
"(22, 16, 15, 41)"
"(25, 22, 20, 25)"
"(32, 43, 5, 31)"
"(33, 23, 41, 11)"
"(40, 9, 30, 21)"
"(37, 11, 12, 31)"
"(20, 33, 35, 29)"
"(22, 14, 19, 9)"
"(23, 37, 43, 20)"
"(40, 34, 43, 37)"
"(18, 16, 39, 17)"
"(26, 43, 22, 38)"
"(16, 31, 44, 44)"
"(7, 39, 33, 35)"
"(7, 39, 22, 2)"
"(38, 5, 26, 7)"
"(2, 18, 9, 6)"
"(5, 15, 20, 34)"
"(44, 6, 39, 10)"
"(35, 32, 22, 13)"
"(16, 23, 20, 27)"
"(30, 39, 35, 0)"
"(2, 13, 21, 16)"
"(22, 11, 29, 12)"
"(19, 1, 34, 20)"
"(15, 23, 21, 33)"
"(30, 40, 19, 13)"
"(26, 20, 7, 36)"
"(34, 0, 24, 14)"
"(3, 35, 9, 0)"
"(16, 24, 1, 9)"
"(3, 3, 10, 26)"
"(14, 21, 40, 24)"
"(7, 35, 35, 15)"
"(27, 41, 19, 25)"
"(26, 27, 25, 43)"
"(42, 31, 27, 16)"
"(37, 31, 7, 30)"
"(27, 31, 22, 33)"
"(8, 4, 26, 28)"
