"(8, 8, 6, 14, 10)"
"(8, 0, 6, 5, 0)"
"(2, 6, 13, 8, 10)"
"(0, 11, 6, 13, 14)"
"(5, 5, 13, 10, 8)"
"(15, 1, 5, 7, 8)"
"(9, 16, 2, 9, 11)"
"(12, 0, 13, 12, 7)"
"(11, 1, 1, 8, 14)"
"(0, 8, 15, 0, 13)"
"(12, 3, 11, 13, 13)"
"(11, 3, 8, 7, 4)"
"(4, 0, 11, 12, 0)"
"(16, 7, 6, 11, 12)"
"(13, 3, 2, 16, 8)"
"(14, 8, 9, 3, 3)"
"(1, 13, 11, 4, 14)"
"(8, 3, 9, 7, 16)"
"(6, 4, 2, 9, 2)"
"(2, 2, 9, 9, 14)"
"(9, 13, 2, 0, 8)"
"(16, 15, 10, 0, 5)"
"(15, 14, 14, 3, 5)"
"(15, 2, 8, 15, 15)"
"(13, 10, 12, 5, 16)"
"(7, 5, 12, 5, 8)"
"(10, 13, 13, 2, 8)"
"(9, 16, 15, 9, 2)"
"(9, 0, 0, 3, 5)"
"(13, 4, 2, 13, 9)"
"(0, 10, 13, 10, 4)"
"(13, 7, 0, 14, 15)"
"(1, 12, 3, 2, 7)"
"(9, 5, 12, 11, 5)"
"(2, 3, 6, 9, 3)"
"(10, 16, 5, 5, 9)"
"(2, 2, 0, 9, 11)"
"(3, 5, 8, 6, 7)"
"(2, 10, 15, 13, 4)"
"(13, 4, 4, 3, 9)"
"(6, 2, 12, 12, 15)"
"(5, 7, 14, 14, 1)"
"(7, 14, 1, 16, 6)"
"(3, 4, 1, 1, 10)"
"(15, 5, 10, 1, 7)"
"(2, 5, 3, 3, 8)"
"(6, 7, 1, 9, 11)"
"(3, 3, 14, 10, 3)"
"(10, 9, 9, 3, 9)"
"(10, 12, 8, 14, 4)"
"(1, 5, 4, 16, 13)"
"(4, 5, 14, 0, 8)"
"(8, 9, 11, 3, 15)"
"(16, 4, 16, 13, 13)"
"(7, 16, 6, 9, 9)"
"(4, 9, 13, 7, 1)"
"(14, 1, 0, 2, 16)"
"(2, 0, 1, 5, 4)"
"(1, 16, 16, 10, 7)"
"(15, 9, 12, 15, 3)"
"(6, 11, 15, 7, 13)"
"(4, 15, 5, 0, 15)"
"(10, 14, 1, 13, 8)"
"(9, 9, 0, 5, 0)"
"(3, 7, 14, 0, 12)"
"(5, 16, 1, 3, 8)"
"(4, 5, 9, 14, 1)"
"(6, 12, 6, 1, 3)"
"(6, 1, 1, 0, 0)"
"(9, 3, 7, 13, 3)"
"(4, 7, 5, 4, 6)"
"(15, 10, 10, 11, 10)"
"(16, 4, 11, 13, 5)"
"(2, 10, 16, 10, 5)"
"(5, 10, 6, 4, 9)"
"(8, 13, 12, 2, 3)"
"(10, 9, 16, 4, 2)"
"(9, 4, 10, 15, 15)"
"(16, 14, 7, 5, 13)"
"(7, 14, 16, 0, 5)"
"(15, 2, 15, 6, 9)"
"(9, 2, 12, 12, 11)"
"(0, 6, 10, 8, 15)"
"(15, 14, 3, 6, 6)"
"(7, 4, 12, 11, 6)"
"(6, 2, 4, 5, 16)"
"(0, 14, 14, 14, 5)"
"(4, 9, 15, 3, 12)"
"(7, 14, 1, 2, 11)"
"(8, 9, 12, 1, 1)"
"(1, 6, 11, 10, 7)"
"(9, 14, 7, 10, 2)"
"(2, 7, 9, 5, 0)"
"(11, 0, 1, 9, 11)"
"(1, 5, 0, 13, 15)"
"(10, 15, 13, 5, 10)"
"(15, 6, 7, 12, 14)"
"(16, 6, 5, 1, 1)"
"(13, 16, 14, 1, 9)"
"(14, 9, 6, 16, 6)"
