"(46, 0)"
"(26, 23)"
"(35, 19)"
"(4, 10)"
"(3, 34)"
"(24, 46)"
"(29, 8)"
"(40, 0)"
"(8, 42)"
"(47, 13)"
"(16, 14)"
"(40, 0)"
"(32, 9)"
"(16, 23)"
"(23, 24)"
"(37, 16)"
"(45, 32)"
"(36, 6)"
"(15, 11)"
"(21, 20)"
"(4, 12)"
"(47, 37)"
"(20, 24)"
"(1, 33)"
"(38, 30)"
"(38, 17)"
"(40, 27)"
"(28, 2)"
"(35, 13)"
"(19, 27)"
"(44, 31)"
"(28, 3)"
"(25, 16)"
"(6, 7)"
"(14, 4)"
"(41, 24)"
"(27, 46)"
"(14, 18)"
"(30, 13)"
"(12, 40)"
"(12, 20)"
"(24, 6)"
"(24, 15)"
"(45, 21)"
"(36, 16)"
"(1, 2)"
"(15, 39)"
"(16, 25)"
"(28, 40)"
"(44, 20)"
"(6, 31)"
"(25, 35)"
"(17, 28)"
"(25, 31)"
"(45, 40)"
"(7, 31)"
"(37, 2)"
"(41, 23)"
"(47, 9)"
"(17, 20)"
"(10, 40)"
"(41, 30)"
"(20, 42)"
"(25, 4)"
"(26, 46)"
"(40, 0)"
"(47, 29)"
"(21, 40)"
"(2, 13)"
"(26, 2)"
"(27, 33)"
"(41, 37)"
"(38, 44)"
"(34, 21)"
"(34, 18)"
"(9, 35)"
"(32, 11)"
"(22, 36)"
"(21, 31)"
"(35, 26)"
"(47, 44)"
"(10, 14)"
"(5, 20)"
"(37, 30)"
"(7, 4)"
"(47, 0)"
"(16, 2)"
"(36, 13)"
"(26, 42)"
"(10, 24)"
"(29, 13)"
"(25, 10)"
"(26, 24)"
"(12, 10)"
"(12, 32)"
"(22, 2)"
"(32, 38)"
"(28, 41)"
"(26, 45)"
"(12, 45)"
