"(13, 13, 11, 21)"
"(26, 11, 25, 5)"
"(2, 1, 21, 0)"
"(22, 18, 14, 0)"
"(20, 9, 0, 15)"
"(21, 7, 19, 2)"
"(15, 15, 20, 5)"
"(13, 20, 11, 3)"
"(15, 24, 8, 7)"
"(12, 20, 1, 11)"
"(17, 17, 18, 10)"
"(11, 13, 17, 26)"
"(16, 10, 19, 3)"
"(2, 25, 11, 6)"
"(6, 2, 7, 16)"
"(13, 16, 22, 13)"
"(16, 25, 17, 0)"
"(5, 9, 23, 18)"
"(9, 20, 0, 12)"
"(25, 1, 21, 19)"
"(6, 17, 25, 1)"
"(14, 3, 4, 3)"
"(22, 17, 11, 8)"
"(19, 9, 6, 22)"
"(4, 3, 10, 0)"
"(7, 2, 15, 24)"
"(16, 15, 8, 10)"
"(25, 10, 7, 4)"
"(20, 0, 4, 2)"
"(11, 25, 0, 24)"
"(13, 15, 18, 18)"
"(17, 18, 13, 0)"
"(12, 13, 10, 20)"
"(21, 17, 24, 7)"
"(24, 0, 11, 16)"
"(18, 5, 15, 8)"
"(22, 20, 25, 15)"
"(19, 20, 4, 0)"
"(1, 14, 17, 18)"
"(17, 10, 2, 2)"
"(4, 22, 9, 20)"
"(17, 21, 14, 24)"
"(8, 25, 20, 0)"
"(4, 7, 11, 4)"
"(15, 8, 15, 17)"
"(21, 9, 20, 6)"
"(25, 2, 15, 23)"
"(18, 21, 22, 20)"
"(25, 10, 2, 17)"
"(17, 24, 25, 20)"
"(6, 18, 24, 2)"
"(1, 11, 6, 17)"
"(2, 12, 17, 0)"
"(1, 11, 21, 0)"
"(24, 18, 8, 16)"
"(18, 21, 26, 8)"
"(8, 8, 18, 8)"
"(26, 19, 1, 5)"
"(7, 2, 14, 1)"
"(4, 25, 9, 9)"
"(14, 4, 24, 7)"
"(11, 14, 4, 22)"
"(26, 21, 0, 26)"
"(0, 5, 26, 26)"
"(18, 24, 5, 13)"
"(5, 0, 25, 12)"
"(5, 4, 25, 24)"
"(5, 13, 5, 10)"
"(24, 0, 0, 15)"
"(19, 24, 24, 18)"
"(16, 11, 16, 19)"
"(13, 3, 18, 1)"
"(5, 22, 13, 24)"
"(0, 26, 7, 1)"
"(12, 11, 14, 13)"
"(5, 12, 9, 2)"
"(3, 0, 2, 3)"
"(4, 0, 0, 21)"
"(21, 9, 0, 20)"
"(5, 4, 14, 16)"
"(14, 9, 3, 17)"
"(6, 16, 10, 17)"
"(4, 6, 12, 17)"
"(12, 7, 24, 17)"
"(15, 26, 22, 7)"
"(7, 22, 8, 26)"
"(26, 4, 26, 26)"
"(8, 4, 14, 3)"
"(10, 1, 24, 8)"
"(21, 11, 17, 13)"
"(3, 6, 9, 13)"
"(12, 26, 18, 2)"
"(8, 8, 0, 23)"
"(10, 17, 8, 1)"
"(3, 2, 11, 24)"
"(7, 9, 2, 6)"
"(25, 9, 19, 26)"
"(14, 13, 23, 12)"
"(18, 9, 7, 6)"
"(11, 7, 17, 20)"
