"(17, 2, 26)"
"(3, 23, 10)"
"(5, 5, 24)"
"(4, 12, 7)"
"(0, 8, 18)"
"(18, 26, 5)"
"(18, 12, 8)"
"(16, 13, 7)"
"(26, 5, 7)"
"(8, 2, 2)"
"(3, 18, 8)"
"(24, 19, 4)"
"(1, 25, 21)"
"(8, 9, 12)"
"(5, 18, 1)"
"(1, 25, 12)"
"(10, 17, 3)"
"(11, 24, 12)"
"(4, 20, 25)"
"(3, 26, 15)"
"(7, 15, 13)"
"(8, 20, 22)"
"(14, 20, 6)"
"(26, 12, 19)"
"(14, 24, 23)"
"(25, 0, 4)"
"(2, 2, 12)"
"(14, 20, 21)"
"(5, 20, 12)"
"(6, 10, 4)"
"(1, 19, 26)"
"(25, 17, 26)"
"(24, 7, 18)"
"(14, 26, 15)"
"(13, 4, 10)"
"(4, 2, 20)"
"(7, 7, 18)"
"(10, 18, 4)"
"(26, 22, 21)"
"(13, 16, 20)"
"(13, 18, 5)"
"(7, 4, 6)"
"(5, 7, 10)"
"(19, 12, 14)"
"(13, 5, 20)"
"(10, 10, 26)"
"(16, 21, 9)"
"(1, 6, 7)"
"(6, 10, 17)"
"(15, 2, 12)"
"(7, 18, 2)"
"(13, 18, 14)"
"(25, 10, 2)"
"(14, 7, 1)"
"(6, 13, 24)"
"(10, 16, 16)"
"(21, 18, 17)"
"(4, 0, 6)"
"(24, 10, 16)"
"(22, 1, 15)"
"(7, 11, 4)"
"(11, 10, 24)"
"(21, 12, 25)"
"(5, 16, 2)"
"(24, 19, 14)"
"(8, 25, 8)"
"(11, 1, 18)"
"(7, 23, 3)"
"(5, 21, 4)"
"(19, 18, 26)"
"(16, 14, 9)"
"(4, 4, 12)"
"(2, 17, 22)"
"(15, 16, 9)"
"(18, 20, 12)"
"(15, 14, 22)"
"(7, 2, 4)"
"(21, 26, 11)"
"(3, 25, 2)"
"(3, 11, 13)"
"(21, 21, 7)"
"(11, 17, 0)"
"(13, 11, 6)"
"(13, 11, 2)"
"(7, 15, 24)"
"(18, 18, 24)"
"(23, 16, 23)"
"(5, 5, 21)"
"(8, 0, 12)"
"(23, 25, 16)"
"(18, 6, 5)"
"(3, 22, 16)"
"(5, 8, 11)"
"(10, 8, 20)"
"(16, 7, 9)"
"(2, 26, 11)"
"(21, 18, 1)"
"(24, 17, 22)"
"(10, 8, 21)"
"(25, 2, 3)"
