"(5, 0, 41, 49, 26)"
"(53, 31, 25, 47, 6)"
"(19, 40, 38, 13, 35)"
"(49, 37, 41, 17, 51)"
"(11, 22, 46, 44, 35)"
"(35, 0, 34, 46, 2)"
"(30, 7, 47, 34, 14)"
"(4, 52, 23, 13, 6)"
"(14, 20, 25, 47, 47)"
"(32, 20, 44, 29, 14)"
"(12, 12, 10, 44, 15)"
"(19, 2, 36, 22, 48)"
"(24, 12, 50, 25, 30)"
"(19, 58, 15, 34, 13)"
"(51, 57, 19, 3, 13)"
"(50, 4, 26, 35, 31)"
"(57, 48, 46, 35, 22)"
"(6, 51, 22, 57, 5)"
"(8, 55, 35, 57, 44)"
"(43, 21, 43, 17, 55)"
"(34, 1, 45, 35, 36)"
"(36, 33, 55, 41, 32)"
"(35, 46, 22, 25, 41)"
"(46, 45, 4, 15, 1)"
"(36, 21, 44, 52, 23)"
"(0, 38, 51, 32, 43)"
"(25, 51, 53, 11, 25)"
"(52, 8, 43, 48, 56)"
"(35, 38, 18, 51, 41)"
"(25, 27, 42, 43, 6)"
"(11, 4, 22, 2, 48)"
"(26, 43, 43, 27, 52)"
"(57, 18, 47, 3, 21)"
"(50, 18, 41, 48, 36)"
"(20, 47, 56, 46, 39)"
"(46, 57, 3, 45, 30)"
"(18, 40, 26, 2, 41)"
"(53, 52, 35, 17, 39)"
"(52, 16, 37, 44, 43)"
"(43, 27, 57, 27, 51)"
"(29, 29, 53, 41, 37)"
"(11, 40, 36, 3, 20)"
"(2, 39, 20, 16, 11)"
"(8, 25, 21, 31, 17)"
"(25, 34, 40, 16, 7)"
"(47, 22, 13, 56, 5)"
"(52, 43, 18, 37, 12)"
"(48, 43, 29, 53, 12)"
"(10, 56, 26, 0, 21)"
"(48, 29, 25, 42, 56)"
"(38, 27, 40, 14, 16)"
"(16, 49, 19, 17, 15)"
"(12, 58, 3, 58, 8)"
"(39, 55, 56, 24, 4)"
"(41, 44, 58, 39, 37)"
"(29, 50, 14, 45, 54)"
"(12, 35, 26, 51, 37)"
"(17, 43, 40, 23, 43)"
"(28, 17, 49, 38, 38)"
"(50, 17, 17, 37, 7)"
"(34, 12, 11, 18, 16)"
"(51, 51, 5, 30, 11)"
"(43, 0, 25, 54, 8)"
"(45, 33, 38, 35, 48)"
"(47, 57, 22, 30, 45)"
"(31, 34, 58, 55, 57)"
"(55, 40, 21, 10, 40)"
"(24, 5, 21, 32, 11)"
"(15, 43, 34, 47, 38)"
"(6, 3, 48, 0, 37)"
"(38, 24, 50, 16, 30)"
"(47, 56, 55, 17, 7)"
"(54, 45, 35, 52, 1)"
"(19, 29, 52, 57, 15)"
"(10, 46, 53, 43, 21)"
"(25, 24, 49, 50, 29)"
"(45, 26, 18, 7, 10)"
"(41, 2, 11, 14, 29)"
"(30, 29, 2, 44, 26)"
"(1, 21, 39, 53, 10)"
"(46, 18, 45, 55, 38)"
"(21, 38, 14, 0, 42)"
"(47, 4, 53, 21, 24)"
"(31, 44, 53, 55, 56)"
"(34, 25, 26, 43, 6)"
"(51, 2, 55, 25, 6)"
"(31, 36, 17, 30, 17)"
"(51, 53, 45, 2, 1)"
"(57, 24, 14, 33, 57)"
"(29, 23, 2, 10, 16)"
"(21, 38, 46, 39, 18)"
"(55, 27, 9, 17, 1)"
"(7, 12, 1, 11, 5)"
"(4, 21, 7, 47, 23)"
"(12, 9, 15, 27, 38)"
"(13, 35, 38, 3, 37)"
"(49, 56, 38, 14, 19)"
"(6, 19, 39, 19, 8)"
"(40, 16, 30, 0, 18)"
"(15, 11, 34, 34, 25)"
