"(33, 34, 17, 15, 1)"
"(11, 30, 0, 22, 21)"
"(25, 49, 41, 50, 44)"
"(44, 19, 14, 11, 27)"
"(10, 22, 31, 3, 21)"
"(16, 21, 30, 34, 4)"
"(12, 46, 36, 0, 3)"
"(46, 46, 24, 19, 14)"
"(40, 24, 34, 19, 29)"
"(50, 51, 51, 2, 3)"
"(14, 44, 17, 12, 51)"
"(0, 15, 15, 15, 13)"
"(7, 23, 13, 20, 3)"
"(26, 33, 6, 29, 46)"
"(49, 35, 41, 38, 42)"
"(16, 32, 33, 39, 21)"
"(7, 48, 11, 26, 15)"
"(38, 1, 41, 12, 7)"
"(18, 26, 24, 1, 51)"
"(0, 17, 4, 52, 40)"
"(32, 6, 38, 44, 28)"
"(40, 27, 51, 9, 33)"
"(11, 36, 2, 33, 36)"
"(15, 27, 24, 0, 34)"
"(49, 30, 31, 17, 44)"
"(41, 39, 18, 8, 3)"
"(44, 10, 18, 30, 29)"
"(8, 50, 5, 45, 52)"
"(13, 40, 7, 41, 50)"
"(13, 45, 19, 36, 2)"
"(30, 33, 48, 1, 8)"
"(41, 39, 4, 46, 41)"
"(45, 47, 31, 23, 0)"
"(27, 0, 20, 47, 27)"
"(45, 46, 27, 27, 6)"
"(17, 6, 0, 52, 3)"
"(18, 28, 2, 52, 14)"
"(35, 25, 8, 32, 13)"
"(31, 16, 8, 33, 49)"
"(50, 48, 41, 13, 51)"
"(11, 18, 20, 50, 48)"
"(10, 27, 1, 17, 51)"
"(22, 28, 48, 40, 10)"
"(46, 4, 27, 12, 4)"
"(19, 10, 8, 18, 9)"
"(51, 37, 26, 15, 47)"
"(46, 26, 7, 34, 45)"
"(23, 36, 26, 29, 43)"
"(19, 5, 34, 3, 47)"
"(16, 24, 29, 0, 49)"
"(13, 30, 24, 18, 42)"
"(7, 25, 30, 29, 3)"
"(0, 11, 44, 15, 8)"
"(18, 4, 22, 23, 45)"
"(0, 49, 3, 18, 15)"
"(4, 6, 2, 23, 46)"
"(34, 46, 41, 31, 13)"
"(29, 49, 13, 49, 11)"
"(4, 17, 12, 31, 9)"
"(24, 21, 2, 29, 27)"
"(12, 2, 5, 48, 14)"
"(12, 9, 45, 52, 11)"
"(39, 24, 21, 47, 25)"
"(24, 27, 28, 4, 30)"
"(23, 15, 11, 34, 42)"
"(3, 29, 27, 52, 16)"
"(10, 14, 39, 22, 17)"
"(17, 46, 8, 23, 52)"
"(12, 6, 23, 50, 20)"
"(15, 50, 22, 42, 40)"
"(44, 42, 42, 1, 20)"
"(9, 9, 51, 43, 24)"
"(25, 50, 25, 44, 12)"
"(44, 26, 19, 23, 13)"
"(38, 0, 43, 33, 25)"
"(19, 38, 30, 5, 29)"
"(42, 41, 8, 51, 3)"
"(11, 36, 22, 32, 46)"
"(31, 27, 2, 43, 21)"
"(20, 4, 39, 40, 42)"
"(1, 13, 18, 34, 13)"
"(23, 2, 2, 28, 50)"
"(30, 5, 26, 3, 4)"
"(34, 45, 45, 4, 39)"
"(25, 4, 32, 32, 23)"
"(9, 45, 44, 21, 47)"
"(51, 52, 21, 30, 7)"
"(1, 30, 39, 50, 51)"
"(15, 11, 38, 25, 14)"
"(9, 2, 4, 15, 6)"
"(31, 18, 13, 23, 6)"
"(4, 26, 1, 40, 6)"
"(31, 34, 27, 32, 43)"
"(49, 1, 24, 51, 12)"
"(21, 6, 34, 7, 5)"
"(16, 30, 35, 52, 12)"
"(9, 21, 26, 49, 16)"
"(11, 43, 3, 13, 15)"
"(13, 27, 45, 21, 39)"
"(20, 21, 3, 44, 39)"
