"(53,)"
"(9,)"
"(34,)"
"(18,)"
"(43,)"
"(22,)"
"(9,)"
"(0,)"
"(34,)"
"(43,)"
"(64,)"
"(44,)"
"(40,)"
"(20,)"
"(49,)"
"(18,)"
"(15,)"
"(3,)"
"(54,)"
"(22,)"
"(33,)"
"(30,)"
"(25,)"
"(18,)"
"(14,)"
"(50,)"
"(50,)"
"(47,)"
"(20,)"
"(56,)"
"(48,)"
"(2,)"
"(17,)"
"(58,)"
"(29,)"
"(50,)"
"(57,)"
"(47,)"
"(50,)"
"(3,)"
"(19,)"
"(56,)"
"(16,)"
"(48,)"
"(0,)"
"(23,)"
"(3,)"
"(50,)"
"(5,)"
"(52,)"
"(63,)"
"(48,)"
"(42,)"
"(40,)"
"(57,)"
"(45,)"
"(50,)"
"(37,)"
"(23,)"
"(20,)"
"(41,)"
"(7,)"
"(56,)"
"(11,)"
"(63,)"
"(63,)"
"(31,)"
"(25,)"
"(27,)"
"(33,)"
"(18,)"
"(16,)"
"(22,)"
"(1,)"
"(46,)"
"(31,)"
"(8,)"
"(1,)"
"(48,)"
"(30,)"
"(11,)"
"(29,)"
"(51,)"
"(46,)"
"(38,)"
"(60,)"
"(60,)"
"(25,)"
"(5,)"
"(20,)"
"(54,)"
"(31,)"
"(30,)"
"(26,)"
"(12,)"
"(32,)"
"(9,)"
"(5,)"
"(55,)"
"(38,)"
