"(37, 2, 15, 30)"
"(16, 17, 19, 20)"
"(17, 8, 4, 35)"
"(15, 10, 20, 24)"
"(40, 35, 11, 38)"
"(25, 27, 32, 40)"
"(7, 0, 19, 25)"
"(30, 5, 18, 12)"
"(1, 35, 16, 5)"
"(29, 38, 10, 21)"
"(1, 1, 39, 15)"
"(32, 16, 1, 33)"
"(9, 24, 12, 20)"
"(18, 15, 5, 29)"
"(26, 9, 6, 10)"
"(6, 23, 25, 7)"
"(13, 6, 25, 23)"
"(32, 18, 24, 3)"
"(38, 21, 41, 28)"
"(9, 20, 11, 29)"
"(40, 23, 34, 8)"
"(29, 21, 1, 34)"
"(23, 27, 29, 35)"
"(35, 5, 33, 6)"
"(21, 13, 13, 29)"
"(19, 39, 20, 6)"
"(11, 23, 38, 17)"
"(17, 38, 29, 35)"
"(7, 20, 40, 16)"
"(5, 0, 5, 20)"
"(10, 14, 18, 17)"
"(25, 39, 20, 22)"
"(30, 35, 3, 23)"
"(34, 36, 11, 40)"
"(16, 15, 2, 33)"
"(0, 32, 28, 6)"
"(4, 27, 41, 27)"
"(11, 12, 27, 10)"
"(20, 34, 40, 13)"
"(39, 5, 13, 18)"
"(8, 35, 9, 16)"
"(41, 41, 17, 17)"
"(25, 33, 4, 4)"
"(20, 2, 19, 38)"
"(33, 26, 13, 23)"
"(2, 16, 6, 27)"
"(33, 20, 21, 9)"
"(16, 33, 23, 39)"
"(22, 33, 6, 3)"
"(1, 40, 23, 3)"
"(38, 0, 39, 25)"
"(33, 8, 3, 24)"
"(23, 3, 7, 19)"
"(23, 3, 21, 33)"
"(4, 35, 10, 36)"
"(31, 0, 27, 35)"
"(39, 16, 32, 12)"
"(28, 34, 30, 0)"
"(22, 37, 31, 5)"
"(8, 9, 2, 24)"
"(28, 38, 6, 11)"
"(0, 30, 41, 34)"
"(30, 26, 39, 35)"
"(23, 25, 35, 27)"
"(10, 21, 21, 18)"
"(8, 15, 14, 40)"
"(22, 13, 32, 39)"
"(11, 28, 5, 1)"
"(14, 5, 19, 27)"
"(29, 3, 11, 29)"
"(40, 9, 10, 6)"
"(1, 20, 24, 33)"
"(22, 33, 24, 34)"
"(38, 26, 14, 13)"
"(22, 30, 25, 8)"
"(11, 23, 4, 17)"
"(5, 3, 5, 1)"
"(31, 2, 18, 1)"
"(20, 35, 39, 21)"
"(24, 5, 12, 25)"
"(1, 26, 10, 9)"
"(38, 17, 26, 5)"
"(24, 29, 15, 22)"
"(34, 35, 15, 21)"
"(3, 6, 18, 0)"
"(5, 23, 22, 12)"
"(6, 35, 7, 9)"
"(29, 20, 19, 13)"
"(10, 19, 29, 34)"
"(28, 41, 8, 23)"
"(22, 37, 29, 22)"
"(30, 29, 18, 1)"
"(21, 26, 24, 14)"
"(25, 29, 24, 9)"
"(24, 5, 2, 11)"
"(30, 7, 20, 15)"
"(1, 4, 18, 15)"
"(38, 27, 27, 16)"
"(39, 40, 32, 20)"
"(30, 24, 27, 8)"
