"(11, 44, 20, 5)"
"(29, 2, 37, 21)"
"(4, 44, 32, 42)"
"(37, 1, 27, 13)"
"(34, 39, 46, 30)"
"(27, 38, 46, 41)"
"(43, 16, 40, 9)"
"(43, 15, 14, 23)"
"(8, 16, 13, 38)"
"(7, 46, 46, 27)"
"(38, 7, 13, 38)"
"(10, 3, 25, 0)"
"(36, 9, 12, 45)"
"(25, 4, 27, 2)"
"(12, 27, 38, 17)"
"(34, 30, 23, 2)"
"(19, 39, 24, 28)"
"(36, 39, 7, 26)"
"(29, 20, 43, 38)"
"(19, 19, 6, 19)"
"(46, 14, 30, 46)"
"(8, 8, 35, 23)"
"(18, 33, 40, 47)"
"(9, 19, 38, 43)"
"(15, 14, 27, 14)"
"(6, 0, 27, 42)"
"(39, 11, 17, 48)"
"(39, 34, 1, 37)"
"(20, 47, 28, 13)"
"(28, 28, 2, 7)"
"(1, 13, 16, 37)"
"(46, 12, 35, 22)"
"(40, 14, 32, 30)"
"(36, 25, 21, 33)"
"(8, 18, 9, 8)"
"(37, 1, 48, 14)"
"(0, 38, 30, 41)"
"(13, 23, 15, 47)"
"(7, 30, 40, 18)"
"(28, 32, 8, 27)"
"(6, 19, 4, 21)"
"(33, 8, 24, 27)"
"(37, 28, 40, 1)"
"(12, 46, 8, 13)"
"(41, 31, 20, 36)"
"(2, 3, 31, 23)"
"(7, 21, 24, 30)"
"(32, 21, 15, 9)"
"(0, 7, 11, 2)"
"(5, 7, 7, 0)"
"(24, 38, 21, 24)"
"(39, 29, 24, 15)"
"(30, 35, 33, 47)"
"(36, 0, 15, 36)"
"(33, 10, 28, 29)"
"(19, 33, 17, 43)"
"(45, 48, 36, 25)"
"(42, 37, 6, 13)"
"(18, 23, 43, 41)"
"(23, 2, 34, 41)"
"(2, 28, 11, 43)"
"(33, 9, 27, 3)"
"(12, 12, 43, 48)"
"(5, 48, 37, 20)"
"(12, 39, 31, 20)"
"(47, 14, 36, 17)"
"(47, 35, 3, 33)"
"(35, 9, 21, 13)"
"(3, 38, 29, 28)"
"(30, 22, 18, 41)"
"(16, 43, 0, 12)"
"(31, 41, 0, 24)"
"(16, 28, 11, 48)"
"(4, 42, 32, 0)"
"(6, 39, 1, 39)"
"(27, 33, 12, 30)"
"(29, 32, 36, 32)"
"(0, 47, 2, 27)"
"(37, 4, 25, 38)"
"(35, 20, 48, 22)"
"(7, 10, 19, 34)"
"(26, 13, 15, 40)"
"(0, 32, 5, 24)"
"(4, 42, 5, 28)"
"(8, 16, 4, 28)"
"(40, 15, 26, 10)"
"(35, 10, 9, 6)"
"(38, 35, 7, 45)"
"(16, 39, 41, 15)"
"(33, 32, 18, 16)"
"(28, 5, 10, 18)"
"(23, 14, 40, 16)"
"(45, 24, 14, 32)"
"(20, 21, 4, 42)"
"(40, 12, 38, 35)"
"(41, 1, 15, 32)"
"(2, 32, 19, 15)"
"(3, 16, 18, 1)"
"(43, 15, 17, 47)"
"(38, 14, 7, 23)"
