"(13, 15)"
"(63, 21)"
"(9, 42)"
"(45, 3)"
"(27, 52)"
"(55, 80)"
"(17, 26)"
"(35, 68)"
"(84, 48)"
"(87, 27)"
"(62, 74)"
"(33, 46)"
"(86, 21)"
"(39, 33)"
"(34, 6)"
"(71, 40)"
"(21, 81)"
"(25, 10)"
"(34, 15)"
"(34, 17)"
"(39, 74)"
"(38, 36)"
"(52, 75)"
"(78, 66)"
"(56, 10)"
"(13, 83)"
"(53, 78)"
"(81, 58)"
"(79, 56)"
"(53, 40)"
"(1, 15)"
"(2, 27)"
"(11, 47)"
"(57, 9)"
"(25, 64)"
"(85, 21)"
"(72, 24)"
"(78, 35)"
"(24, 31)"
"(24, 80)"
"(76, 66)"
"(86, 76)"
"(18, 16)"
"(47, 60)"
"(34, 2)"
"(52, 43)"
"(78, 46)"
"(49, 48)"
"(8, 2)"
"(72, 21)"
"(10, 59)"
"(85, 35)"
"(49, 18)"
"(86, 12)"
"(76, 78)"
"(65, 19)"
"(22, 42)"
"(22, 37)"
"(4, 84)"
"(43, 69)"
"(56, 16)"
"(22, 67)"
"(84, 7)"
"(58, 78)"
"(17, 23)"
"(27, 21)"
"(28, 8)"
"(18, 13)"
"(44, 50)"
"(62, 54)"
"(51, 36)"
"(39, 27)"
"(32, 28)"
"(85, 40)"
"(68, 74)"
"(40, 45)"
"(32, 22)"
"(42, 82)"
"(52, 47)"
"(31, 21)"
"(83, 13)"
"(80, 28)"
"(0, 6)"
"(84, 55)"
"(1, 20)"
"(65, 51)"
"(53, 12)"
"(71, 2)"
"(47, 79)"
"(30, 28)"
"(18, 13)"
"(73, 84)"
"(38, 72)"
"(64, 36)"
"(55, 82)"
"(29, 67)"
"(8, 9)"
"(63, 62)"
"(70, 51)"
"(51, 66)"
