"(116, 123)"
"(65, 47)"
"(135, 97)"
"(84, 91)"
"(33, 96)"
"(112, 24)"
"(136, 17)"
"(141, 7)"
"(21, 131)"
"(103, 22)"
"(62, 63)"
"(24, 149)"
"(16, 93)"
"(83, 71)"
"(103, 135)"
"(30, 134)"
"(44, 59)"
"(134, 43)"
"(34, 71)"
"(55, 39)"
"(5, 8)"
"(113, 35)"
"(90, 114)"
"(87, 119)"
"(124, 42)"
"(26, 74)"
"(29, 147)"
"(12, 35)"
"(42, 10)"
"(46, 75)"
"(108, 118)"
"(17, 142)"
"(12, 9)"
"(125, 45)"
"(68, 123)"
"(39, 29)"
"(52, 50)"
"(80, 38)"
"(2, 70)"
"(32, 89)"
"(94, 4)"
"(53, 35)"
"(111, 61)"
"(53, 13)"
"(4, 93)"
"(107, 31)"
"(148, 138)"
"(72, 86)"
"(78, 12)"
"(83, 36)"
"(2, 59)"
"(80, 86)"
"(64, 34)"
"(34, 127)"
"(45, 123)"
"(117, 36)"
"(13, 14)"
"(89, 23)"
"(3, 80)"
"(14, 141)"
"(64, 27)"
"(134, 117)"
"(118, 48)"
"(141, 47)"
"(101, 140)"
"(117, 9)"
"(77, 99)"
"(112, 100)"
"(17, 69)"
"(140, 29)"
"(11, 51)"
"(134, 102)"
"(54, 14)"
"(87, 60)"
"(14, 101)"
"(81, 67)"
"(133, 81)"
"(8, 80)"
"(131, 131)"
"(60, 104)"
"(83, 80)"
"(64, 69)"
"(141, 149)"
"(77, 75)"
"(77, 146)"
"(73, 14)"
"(53, 72)"
"(54, 104)"
"(121, 88)"
"(55, 125)"
"(23, 43)"
"(31, 131)"
"(17, 74)"
"(40, 149)"
"(109, 141)"
"(142, 132)"
"(43, 137)"
"(117, 0)"
"(95, 102)"
"(50, 91)"
