"(5, 48)"
"(12, 61)"
"(45, 53)"
"(20, 121)"
"(103, 82)"
"(109, 68)"
"(60, 91)"
"(85, 122)"
"(52, 75)"
"(42, 94)"
"(8, 77)"
"(45, 29)"
"(96, 76)"
"(25, 55)"
"(102, 77)"
"(34, 78)"
"(30, 115)"
"(60, 51)"
"(104, 10)"
"(57, 113)"
"(106, 61)"
"(9, 17)"
"(76, 32)"
"(29, 79)"
"(69, 124)"
"(10, 124)"
"(50, 86)"
"(2, 104)"
"(68, 65)"
"(68, 17)"
"(96, 101)"
"(44, 126)"
"(99, 87)"
"(81, 60)"
"(96, 62)"
"(62, 68)"
"(10, 16)"
"(89, 107)"
"(50, 18)"
"(21, 110)"
"(100, 44)"
"(102, 64)"
"(51, 38)"
"(96, 104)"
"(56, 120)"
"(1, 3)"
"(122, 78)"
"(47, 31)"
"(119, 12)"
"(29, 97)"
"(97, 10)"
"(31, 23)"
"(125, 67)"
"(103, 24)"
"(24, 63)"
"(12, 110)"
"(116, 82)"
"(58, 100)"
"(90, 0)"
"(81, 52)"
"(23, 98)"
"(112, 62)"
"(48, 125)"
"(19, 97)"
"(81, 41)"
"(6, 91)"
"(56, 117)"
"(17, 28)"
"(49, 41)"
"(37, 111)"
"(64, 20)"
"(54, 55)"
"(71, 90)"
"(12, 110)"
"(29, 103)"
"(58, 59)"
"(1, 38)"
"(88, 82)"
"(100, 32)"
"(36, 37)"
"(106, 19)"
"(11, 32)"
"(6, 18)"
"(71, 64)"
"(65, 113)"
"(9, 97)"
"(118, 48)"
"(67, 32)"
"(106, 100)"
"(90, 123)"
"(105, 84)"
"(98, 8)"
"(40, 76)"
"(57, 71)"
"(58, 123)"
"(20, 119)"
"(94, 73)"
"(75, 57)"
"(19, 67)"
"(106, 106)"
