"(13, 43)"
"(4, 28)"
"(19, 30)"
"(43, 4)"
"(3, 15)"
"(17, 4)"
"(2, 22)"
"(5, 1)"
"(7, 1)"
"(3, 42)"
"(11, 25)"
"(30, 35)"
"(9, 27)"
"(10, 35)"
"(23, 39)"
"(1, 9)"
"(12, 22)"
"(44, 0)"
"(44, 3)"
"(38, 13)"
"(22, 0)"
"(9, 28)"
"(20, 3)"
"(30, 36)"
"(4, 25)"
"(44, 33)"
"(8, 6)"
"(39, 5)"
"(23, 29)"
"(4, 5)"
"(32, 24)"
"(7, 1)"
"(38, 9)"
"(28, 24)"
"(36, 15)"
"(3, 38)"
"(20, 11)"
"(39, 32)"
"(6, 2)"
"(7, 10)"
"(44, 43)"
"(33, 42)"
"(1, 33)"
"(8, 5)"
"(29, 42)"
"(45, 39)"
"(13, 15)"
"(12, 12)"
"(29, 10)"
"(19, 4)"
"(8, 1)"
"(32, 36)"
"(31, 29)"
"(19, 40)"
"(40, 44)"
"(16, 29)"
"(16, 18)"
"(15, 39)"
"(26, 3)"
"(31, 21)"
"(19, 10)"
"(20, 0)"
"(29, 11)"
"(25, 34)"
"(41, 42)"
"(19, 44)"
"(31, 21)"
"(20, 29)"
"(33, 14)"
"(27, 23)"
"(24, 5)"
"(24, 5)"
"(15, 21)"
"(34, 3)"
"(33, 38)"
"(38, 35)"
"(29, 9)"
"(4, 2)"
"(28, 25)"
"(32, 42)"
"(41, 44)"
"(31, 40)"
"(7, 36)"
"(40, 18)"
"(5, 9)"
"(28, 28)"
"(5, 19)"
"(40, 45)"
"(13, 5)"
"(32, 37)"
"(13, 7)"
"(40, 9)"
"(30, 25)"
"(14, 39)"
"(32, 45)"
"(19, 13)"
"(33, 32)"
"(31, 14)"
"(20, 32)"
"(25, 45)"
