"(52, 267)"
"(87, 213)"
"(280, 231)"
"(194, 25)"
"(109, 42)"
"(160, 97)"
"(80, 250)"
"(110, 83)"
"(162, 274)"
"(286, 103)"
"(150, 29)"
"(98, 264)"
"(126, 86)"
"(207, 101)"
"(166, 25)"
"(199, 31)"
"(28, 110)"
"(31, 196)"
"(239, 35)"
"(158, 111)"
"(174, 266)"
"(91, 141)"
"(286, 275)"
"(1, 48)"
"(287, 78)"
"(61, 244)"
"(10, 196)"
"(68, 65)"
"(37, 5)"
"(236, 129)"
"(2, 167)"
"(134, 0)"
"(242, 248)"
"(16, 71)"
"(152, 92)"
"(59, 62)"
"(40, 77)"
"(111, 239)"
"(162, 202)"
"(179, 106)"
"(195, 74)"
"(287, 68)"
"(133, 252)"
"(2, 67)"
"(152, 14)"
"(56, 210)"
"(210, 119)"
"(286, 43)"
"(22, 61)"
"(113, 24)"
"(29, 284)"
"(252, 242)"
"(132, 135)"
"(112, 242)"
"(60, 127)"
"(39, 50)"
"(143, 205)"
"(276, 107)"
"(262, 263)"
"(80, 218)"
"(115, 73)"
"(19, 176)"
"(56, 203)"
"(248, 150)"
"(92, 211)"
"(27, 196)"
"(147, 135)"
"(7, 211)"
"(128, 248)"
"(161, 272)"
"(56, 104)"
"(206, 191)"
"(137, 104)"
"(288, 156)"
"(261, 104)"
"(81, 209)"
"(262, 260)"
"(153, 76)"
"(12, 210)"
"(270, 113)"
"(164, 20)"
"(26, 191)"
"(64, 268)"
"(275, 63)"
"(23, 19)"
"(243, 16)"
"(70, 110)"
"(213, 184)"
"(22, 195)"
"(137, 168)"
"(23, 81)"
"(75, 122)"
"(117, 15)"
"(92, 229)"
"(216, 178)"
"(34, 1)"
"(67, 44)"
"(54, 137)"
"(78, 201)"
"(55, 281)"
