"(32, 1, 20, 9)"
"(8, 19, 35, 6)"
"(17, 16, 26, 23)"
"(12, 20, 13, 14)"
"(27, 31, 19, 35)"
"(5, 18, 31, 12)"
"(4, 12, 18, 21)"
"(4, 0, 28, 35)"
"(29, 34, 22, 30)"
"(31, 21, 28, 2)"
"(24, 12, 28, 24)"
"(23, 0, 15, 29)"
"(36, 35, 29, 7)"
"(6, 28, 35, 34)"
"(0, 31, 0, 30)"
"(14, 12, 13, 15)"
"(23, 31, 0, 3)"
"(10, 9, 22, 17)"
"(34, 9, 26, 6)"
"(1, 21, 14, 14)"
"(34, 17, 19, 20)"
"(26, 9, 9, 34)"
"(9, 0, 28, 15)"
"(31, 34, 14, 0)"
"(7, 20, 22, 15)"
"(34, 1, 18, 3)"
"(33, 19, 31, 4)"
"(28, 25, 5, 2)"
"(22, 29, 31, 26)"
"(18, 6, 23, 6)"
"(27, 0, 19, 21)"
"(0, 16, 10, 8)"
"(29, 15, 3, 18)"
"(31, 8, 25, 15)"
"(29, 6, 29, 36)"
"(15, 15, 11, 5)"
"(13, 23, 15, 4)"
"(0, 0, 1, 19)"
"(22, 4, 29, 21)"
"(17, 23, 14, 1)"
"(16, 26, 20, 18)"
"(29, 36, 6, 32)"
"(34, 8, 23, 23)"
"(15, 10, 2, 20)"
"(36, 28, 7, 2)"
"(15, 2, 6, 1)"
"(0, 7, 33, 21)"
"(11, 1, 1, 31)"
"(5, 11, 23, 19)"
"(20, 7, 27, 17)"
"(11, 28, 10, 29)"
"(22, 19, 2, 8)"
"(30, 17, 23, 6)"
"(30, 10, 7, 8)"
"(14, 24, 35, 6)"
"(25, 8, 26, 30)"
"(25, 5, 28, 7)"
"(7, 24, 14, 21)"
"(13, 15, 15, 10)"
"(18, 12, 18, 9)"
"(9, 5, 3, 9)"
"(24, 34, 17, 2)"
"(14, 18, 16, 25)"
"(28, 20, 18, 31)"
"(10, 15, 20, 20)"
"(9, 10, 24, 0)"
"(4, 33, 19, 35)"
"(13, 15, 16, 5)"
"(9, 10, 3, 31)"
"(1, 31, 16, 6)"
"(14, 30, 5, 8)"
"(25, 16, 21, 29)"
"(36, 28, 22, 16)"
"(33, 32, 17, 11)"
"(10, 13, 12, 7)"
"(6, 20, 9, 5)"
"(21, 6, 32, 21)"
"(10, 16, 33, 27)"
"(34, 28, 36, 30)"
"(12, 18, 31, 32)"
"(16, 15, 30, 19)"
"(7, 22, 28, 32)"
"(8, 9, 36, 6)"
"(16, 17, 14, 34)"
"(33, 15, 2, 7)"
"(33, 9, 20, 27)"
"(36, 34, 35, 35)"
"(26, 32, 5, 12)"
"(10, 7, 29, 29)"
"(12, 26, 7, 7)"
"(10, 4, 2, 30)"
"(8, 30, 1, 9)"
"(16, 14, 31, 20)"
"(18, 31, 15, 25)"
"(36, 21, 21, 32)"
"(7, 28, 8, 7)"
"(15, 16, 26, 0)"
"(24, 25, 28, 31)"
"(30, 35, 27, 30)"
"(26, 27, 18, 17)"
