"(196, 147)"
"(130, 147)"
"(222, 138)"
"(35, 106)"
"(117, 22)"
"(9, 256)"
"(176, 201)"
"(254, 241)"
"(223, 154)"
"(223, 96)"
"(267, 61)"
"(119, 15)"
"(115, 259)"
"(59, 225)"
"(122, 265)"
"(7, 98)"
"(171, 94)"
"(268, 163)"
"(189, 140)"
"(210, 30)"
"(3, 32)"
"(132, 10)"
"(82, 51)"
"(61, 8)"
"(33, 19)"
"(193, 138)"
"(54, 227)"
"(46, 130)"
"(191, 223)"
"(130, 165)"
"(135, 57)"
"(143, 31)"
"(264, 85)"
"(152, 147)"
"(83, 7)"
"(211, 111)"
"(60, 81)"
"(55, 121)"
"(165, 148)"
"(90, 56)"
"(52, 142)"
"(194, 218)"
"(151, 252)"
"(157, 72)"
"(195, 211)"
"(87, 92)"
"(110, 129)"
"(180, 216)"
"(222, 39)"
"(42, 59)"
"(234, 206)"
"(41, 72)"
"(133, 165)"
"(16, 30)"
"(205, 165)"
"(165, 41)"
"(98, 176)"
"(140, 270)"
"(165, 99)"
"(167, 24)"
"(77, 96)"
"(92, 235)"
"(49, 65)"
"(207, 123)"
"(54, 241)"
"(90, 189)"
"(177, 40)"
"(211, 234)"
"(164, 102)"
"(239, 174)"
"(148, 236)"
"(270, 237)"
"(85, 173)"
"(31, 225)"
"(88, 125)"
"(87, 231)"
"(260, 172)"
"(86, 111)"
"(55, 128)"
"(216, 51)"
"(177, 243)"
"(194, 226)"
"(68, 84)"
"(139, 154)"
"(63, 45)"
"(149, 0)"
"(182, 141)"
"(30, 153)"
"(160, 103)"
"(184, 211)"
"(174, 135)"
"(197, 269)"
"(192, 141)"
"(236, 138)"
"(107, 100)"
"(40, 245)"
"(264, 85)"
"(266, 26)"
"(124, 185)"
"(5, 71)"
