"(103,)"
"(14,)"
"(82,)"
"(164,)"
"(142,)"
"(72,)"
"(13,)"
"(68,)"
"(83,)"
"(93,)"
"(108,)"
"(69,)"
"(35,)"
"(121,)"
"(77,)"
"(125,)"
"(98,)"
"(162,)"
"(76,)"
"(94,)"
"(37,)"
"(96,)"
"(90,)"
"(9,)"
"(172,)"
"(6,)"
"(75,)"
"(71,)"
"(23,)"
"(43,)"
"(42,)"
"(152,)"
"(96,)"
"(170,)"
"(4,)"
"(16,)"
"(69,)"
"(62,)"
"(2,)"
"(5,)"
"(76,)"
"(62,)"
"(1,)"
"(19,)"
"(21,)"
"(121,)"
"(146,)"
"(107,)"
"(51,)"
"(136,)"
"(3,)"
"(36,)"
"(26,)"
"(25,)"
"(7,)"
"(129,)"
"(100,)"
"(109,)"
"(115,)"
"(119,)"
"(13,)"
"(19,)"
"(29,)"
"(163,)"
"(97,)"
"(19,)"
"(108,)"
"(140,)"
"(120,)"
"(55,)"
"(40,)"
"(139,)"
"(80,)"
"(73,)"
"(110,)"
"(59,)"
"(133,)"
"(137,)"
"(106,)"
"(87,)"
"(11,)"
"(33,)"
"(52,)"
"(103,)"
"(160,)"
"(140,)"
"(114,)"
"(88,)"
"(111,)"
"(59,)"
"(117,)"
"(57,)"
"(136,)"
"(31,)"
"(55,)"
"(15,)"
"(87,)"
"(27,)"
"(38,)"
"(54,)"
