"(23, 17, 21)"
"(22, 2, 27)"
"(32, 10, 48)"
"(41, 38, 34)"
"(41, 10, 14)"
"(36, 47, 2)"
"(39, 23, 27)"
"(41, 37, 38)"
"(22, 22, 45)"
"(46, 33, 41)"
"(3, 46, 31)"
"(34, 5, 26)"
"(28, 39, 2)"
"(38, 30, 13)"
"(39, 13, 35)"
"(3, 20, 5)"
"(11, 34, 4)"
"(31, 28, 48)"
"(29, 0, 30)"
"(33, 16, 3)"
"(25, 12, 7)"
"(19, 14, 20)"
"(17, 35, 1)"
"(42, 2, 42)"
"(18, 21, 36)"
"(43, 45, 27)"
"(33, 37, 6)"
"(40, 15, 43)"
"(42, 16, 22)"
"(43, 47, 42)"
"(36, 43, 34)"
"(12, 25, 4)"
"(16, 27, 40)"
"(15, 3, 7)"
"(21, 41, 19)"
"(35, 12, 22)"
"(12, 16, 0)"
"(41, 19, 0)"
"(40, 13, 15)"
"(45, 0, 18)"
"(35, 33, 20)"
"(28, 23, 20)"
"(28, 29, 5)"
"(3, 17, 18)"
"(29, 4, 35)"
"(13, 33, 40)"
"(26, 24, 28)"
"(30, 37, 20)"
"(29, 13, 3)"
"(19, 9, 11)"
"(43, 32, 15)"
"(22, 30, 16)"
"(45, 32, 13)"
"(40, 6, 15)"
"(44, 12, 13)"
"(24, 43, 34)"
"(25, 13, 42)"
"(11, 34, 34)"
"(46, 15, 33)"
"(0, 23, 29)"
"(9, 23, 1)"
"(36, 31, 30)"
"(17, 33, 8)"
"(0, 29, 14)"
"(47, 39, 23)"
"(31, 33, 0)"
"(48, 11, 18)"
"(44, 9, 13)"
"(15, 5, 3)"
"(32, 43, 35)"
"(20, 47, 36)"
"(8, 34, 11)"
"(20, 30, 27)"
"(18, 27, 48)"
"(40, 17, 8)"
"(39, 47, 1)"
"(3, 4, 38)"
"(11, 13, 26)"
"(31, 48, 41)"
"(0, 18, 45)"
"(1, 17, 21)"
"(9, 25, 45)"
"(45, 35, 14)"
"(45, 11, 23)"
"(10, 27, 35)"
"(9, 46, 44)"
"(45, 48, 48)"
"(20, 37, 5)"
"(48, 6, 47)"
"(42, 18, 12)"
"(11, 25, 0)"
"(21, 18, 7)"
"(18, 47, 19)"
"(31, 6, 45)"
"(4, 3, 33)"
"(0, 34, 23)"
"(37, 16, 32)"
"(0, 46, 3)"
"(21, 41, 21)"
"(25, 0, 31)"
