"(253, 161)"
"(233, 155)"
"(210, 55)"
"(118, 90)"
"(103, 29)"
"(56, 49)"
"(246, 104)"
"(45, 95)"
"(136, 112)"
"(20, 206)"
"(51, 150)"
"(145, 163)"
"(206, 253)"
"(143, 116)"
"(91, 156)"
"(134, 44)"
"(223, 132)"
"(140, 205)"
"(171, 63)"
"(215, 153)"
"(254, 206)"
"(184, 207)"
"(220, 108)"
"(61, 153)"
"(209, 48)"
"(118, 3)"
"(173, 194)"
"(94, 190)"
"(119, 117)"
"(125, 188)"
"(182, 256)"
"(8, 12)"
"(47, 230)"
"(91, 248)"
"(255, 88)"
"(245, 80)"
"(103, 124)"
"(178, 142)"
"(79, 214)"
"(257, 222)"
"(177, 129)"
"(223, 8)"
"(221, 44)"
"(144, 240)"
"(134, 37)"
"(177, 159)"
"(235, 58)"
"(183, 148)"
"(2, 81)"
"(63, 24)"
"(107, 167)"
"(112, 9)"
"(83, 5)"
"(88, 240)"
"(25, 150)"
"(13, 105)"
"(211, 114)"
"(233, 172)"
"(204, 199)"
"(80, 30)"
"(25, 20)"
"(16, 167)"
"(173, 29)"
"(134, 80)"
"(101, 85)"
"(188, 67)"
"(60, 38)"
"(128, 181)"
"(52, 231)"
"(80, 127)"
"(91, 103)"
"(104, 212)"
"(93, 160)"
"(55, 128)"
"(103, 78)"
"(21, 156)"
"(243, 71)"
"(24, 59)"
"(144, 219)"
"(210, 132)"
"(242, 109)"
"(222, 144)"
"(259, 232)"
"(24, 234)"
"(129, 116)"
"(113, 44)"
"(40, 100)"
"(23, 122)"
"(61, 211)"
"(70, 68)"
"(195, 137)"
"(159, 54)"
"(62, 2)"
"(28, 142)"
"(8, 196)"
"(126, 127)"
"(178, 168)"
"(230, 187)"
"(71, 5)"
"(183, 18)"
