"(84, 98)"
"(23, 77)"
"(114, 68)"
"(78, 100)"
"(31, 6)"
"(0, 50)"
"(32, 84)"
"(33, 98)"
"(77, 118)"
"(71, 27)"
"(6, 26)"
"(60, 24)"
"(111, 66)"
"(4, 77)"
"(110, 81)"
"(94, 51)"
"(30, 86)"
"(96, 78)"
"(108, 117)"
"(9, 55)"
"(35, 37)"
"(58, 9)"
"(60, 119)"
"(91, 82)"
"(59, 47)"
"(91, 100)"
"(42, 22)"
"(33, 14)"
"(1, 118)"
"(50, 108)"
"(47, 17)"
"(15, 105)"
"(86, 57)"
"(72, 50)"
"(66, 43)"
"(8, 18)"
"(80, 113)"
"(62, 38)"
"(35, 83)"
"(91, 67)"
"(97, 19)"
"(61, 35)"
"(64, 111)"
"(103, 18)"
"(116, 98)"
"(102, 95)"
"(50, 48)"
"(12, 74)"
"(108, 97)"
"(102, 44)"
"(90, 36)"
"(1, 14)"
"(13, 117)"
"(101, 93)"
"(37, 0)"
"(47, 117)"
"(49, 43)"
"(94, 105)"
"(108, 54)"
"(53, 75)"
"(27, 86)"
"(73, 69)"
"(57, 33)"
"(115, 80)"
"(89, 24)"
"(87, 33)"
"(106, 73)"
"(102, 28)"
"(6, 2)"
"(92, 41)"
"(111, 15)"
"(8, 98)"
"(82, 80)"
"(43, 19)"
"(33, 17)"
"(115, 76)"
"(94, 2)"
"(4, 47)"
"(51, 30)"
"(8, 51)"
"(31, 73)"
"(78, 64)"
"(102, 115)"
"(16, 51)"
"(20, 12)"
"(105, 21)"
"(18, 63)"
"(100, 108)"
"(19, 107)"
"(52, 113)"
"(47, 44)"
"(23, 78)"
"(52, 78)"
"(69, 51)"
"(96, 116)"
"(55, 5)"
"(2, 20)"
"(105, 59)"
"(2, 98)"
"(90, 24)"
