"(26, 21)"
"(15, 4)"
"(28, 14)"
"(20, 3)"
"(10, 12)"
"(9, 1)"
"(22, 28)"
"(22, 20)"
"(20, 19)"
"(15, 26)"
"(25, 15)"
"(16, 5)"
"(27, 14)"
"(2, 8)"
"(13, 2)"
"(3, 6)"
"(18, 1)"
"(13, 3)"
"(4, 19)"
"(0, 9)"
"(28, 10)"
"(21, 4)"
"(0, 7)"
"(11, 20)"
"(14, 23)"
"(19, 26)"
"(17, 7)"
"(15, 12)"
"(24, 22)"
"(14, 17)"
"(12, 9)"
"(3, 12)"
"(21, 19)"
"(5, 24)"
"(11, 16)"
"(19, 12)"
"(4, 8)"
"(10, 26)"
"(10, 13)"
"(18, 10)"
"(12, 19)"
"(13, 6)"
"(1, 28)"
"(23, 18)"
"(18, 28)"
"(23, 17)"
"(27, 0)"
"(28, 23)"
"(19, 16)"
"(15, 17)"
"(28, 19)"
"(19, 22)"
"(8, 1)"
"(20, 24)"
"(2, 24)"
"(24, 1)"
"(1, 10)"
"(11, 7)"
"(20, 2)"
"(3, 19)"
"(15, 26)"
"(19, 12)"
"(17, 5)"
"(14, 24)"
"(17, 28)"
"(1, 9)"
"(6, 16)"
"(28, 3)"
"(6, 20)"
"(2, 16)"
"(6, 13)"
"(17, 2)"
"(13, 14)"
"(0, 7)"
"(20, 6)"
"(11, 22)"
"(23, 14)"
"(7, 17)"
"(11, 22)"
"(18, 5)"
"(21, 7)"
"(7, 20)"
"(23, 25)"
"(28, 3)"
"(24, 23)"
"(2, 21)"
"(18, 25)"
"(10, 22)"
"(28, 24)"
"(17, 28)"
"(20, 20)"
"(20, 19)"
"(17, 7)"
"(12, 2)"
"(24, 21)"
"(10, 0)"
"(24, 27)"
"(15, 23)"
"(2, 0)"
"(17, 11)"
