"(12, 8, 2)"
"(26, 30, 15)"
"(2, 19, 24)"
"(1, 22, 8)"
"(14, 8, 19)"
"(17, 37, 27)"
"(16, 0, 19)"
"(14, 4, 31)"
"(1, 18, 9)"
"(15, 27, 3)"
"(14, 25, 28)"
"(11, 37, 28)"
"(36, 22, 28)"
"(9, 21, 24)"
"(30, 13, 29)"
"(5, 1, 12)"
"(2, 3, 15)"
"(29, 8, 5)"
"(25, 28, 19)"
"(20, 32, 25)"
"(37, 23, 20)"
"(23, 0, 35)"
"(36, 28, 4)"
"(10, 23, 35)"
"(9, 10, 32)"
"(14, 7, 5)"
"(32, 20, 28)"
"(1, 28, 25)"
"(0, 13, 21)"
"(35, 36, 7)"
"(13, 31, 36)"
"(37, 38, 4)"
"(21, 24, 4)"
"(27, 7, 28)"
"(27, 3, 7)"
"(18, 6, 13)"
"(38, 20, 20)"
"(4, 9, 15)"
"(7, 3, 25)"
"(19, 1, 5)"
"(30, 0, 29)"
"(14, 36, 2)"
"(0, 21, 10)"
"(2, 29, 9)"
"(24, 25, 38)"
"(37, 29, 3)"
"(1, 21, 16)"
"(31, 34, 24)"
"(11, 6, 3)"
"(14, 15, 33)"
"(4, 33, 12)"
"(16, 4, 15)"
"(14, 11, 32)"
"(8, 4, 26)"
"(19, 3, 4)"
"(14, 27, 34)"
"(8, 19, 13)"
"(4, 24, 21)"
"(4, 19, 29)"
"(20, 38, 12)"
"(15, 9, 37)"
"(4, 23, 4)"
"(3, 10, 17)"
"(3, 18, 31)"
"(30, 28, 24)"
"(24, 18, 35)"
"(13, 22, 9)"
"(8, 0, 10)"
"(11, 32, 27)"
"(20, 33, 36)"
"(35, 37, 26)"
"(15, 25, 5)"
"(1, 23, 21)"
"(35, 21, 10)"
"(34, 38, 10)"
"(25, 38, 4)"
"(5, 25, 8)"
"(2, 37, 18)"
"(22, 5, 35)"
"(27, 37, 5)"
"(29, 0, 7)"
"(35, 11, 16)"
"(3, 5, 36)"
"(20, 25, 29)"
"(16, 4, 17)"
"(38, 6, 17)"
"(8, 14, 13)"
"(38, 1, 3)"
"(18, 1, 33)"
"(20, 2, 17)"
"(2, 2, 32)"
"(36, 3, 33)"
"(37, 17, 21)"
"(13, 10, 30)"
"(17, 8, 11)"
"(31, 27, 31)"
"(17, 10, 2)"
"(0, 30, 26)"
"(29, 11, 8)"
"(3, 36, 35)"
