"(18, 5, 63, 71)"
"(36, 85, 53, 87)"
"(58, 13, 15, 21)"
"(18, 60, 79, 1)"
"(5, 81, 26, 25)"
"(58, 44, 47, 74)"
"(72, 46, 19, 63)"
"(12, 1, 86, 1)"
"(72, 17, 5, 49)"
"(61, 20, 62, 5)"
"(32, 68, 53, 49)"
"(10, 80, 54, 46)"
"(5, 69, 4, 87)"
"(33, 50, 9, 22)"
"(26, 73, 67, 87)"
"(8, 77, 60, 20)"
"(7, 54, 26, 78)"
"(35, 56, 25, 47)"
"(20, 8, 68, 4)"
"(76, 68, 54, 85)"
"(56, 65, 75, 85)"
"(50, 72, 75, 39)"
"(58, 72, 29, 73)"
"(30, 1, 24, 41)"
"(34, 1, 81, 45)"
"(81, 52, 87, 60)"
"(58, 69, 37, 70)"
"(21, 48, 39, 73)"
"(13, 21, 66, 72)"
"(73, 42, 46, 22)"
"(28, 46, 42, 72)"
"(55, 69, 24, 76)"
"(84, 66, 85, 11)"
"(2, 82, 58, 67)"
"(14, 68, 13, 59)"
"(7, 29, 3, 40)"
"(23, 82, 39, 3)"
"(20, 18, 17, 33)"
"(14, 45, 71, 33)"
"(26, 11, 3, 74)"
"(48, 73, 24, 3)"
"(48, 46, 38, 19)"
"(66, 31, 8, 66)"
"(11, 57, 11, 40)"
"(8, 34, 35, 70)"
"(71, 16, 77, 4)"
"(13, 16, 85, 71)"
"(47, 41, 38, 46)"
"(81, 2, 58, 25)"
"(38, 43, 68, 54)"
"(11, 37, 72, 60)"
"(10, 85, 49, 9)"
"(19, 61, 13, 24)"
"(78, 45, 71, 15)"
"(83, 7, 22, 7)"
"(32, 30, 69, 71)"
"(65, 87, 18, 36)"
"(2, 65, 45, 80)"
"(83, 62, 24, 24)"
"(62, 64, 66, 21)"
"(42, 15, 74, 84)"
"(60, 62, 77, 9)"
"(76, 82, 83, 15)"
"(67, 1, 24, 62)"
"(3, 56, 77, 26)"
"(56, 64, 7, 70)"
"(52, 15, 34, 3)"
"(47, 22, 60, 9)"
"(45, 66, 23, 37)"
"(69, 21, 51, 14)"
"(43, 60, 33, 67)"
"(46, 30, 10, 56)"
"(77, 24, 32, 68)"
"(35, 41, 49, 4)"
"(1, 37, 66, 71)"
"(40, 51, 28, 71)"
"(67, 9, 42, 35)"
"(42, 9, 64, 81)"
"(49, 22, 83, 12)"
"(23, 17, 87, 65)"
"(30, 40, 84, 35)"
"(44, 67, 52, 8)"
"(74, 37, 6, 5)"
"(27, 47, 75, 86)"
"(28, 73, 25, 31)"
"(4, 77, 87, 78)"
"(41, 63, 8, 49)"
"(66, 15, 82, 14)"
"(82, 82, 38, 73)"
"(14, 17, 32, 30)"
"(66, 0, 59, 25)"
"(10, 67, 25, 36)"
"(18, 85, 54, 5)"
"(40, 56, 4, 65)"
"(51, 32, 79, 0)"
"(9, 29, 78, 47)"
"(74, 79, 13, 19)"
"(16, 24, 15, 86)"
"(42, 79, 12, 25)"
"(40, 32, 19, 23)"
