"(36, 41, 39, 11)"
"(25, 32, 35, 1)"
"(2, 11, 22, 14)"
"(47, 30, 56, 47)"
"(17, 20, 40, 33)"
"(47, 21, 2, 7)"
"(1, 32, 3, 27)"
"(40, 39, 50, 51)"
"(44, 17, 24, 56)"
"(23, 47, 8, 6)"
"(24, 3, 10, 30)"
"(2, 10, 22, 50)"
"(46, 15, 2, 50)"
"(17, 48, 33, 16)"
"(43, 35, 54, 3)"
"(51, 5, 25, 48)"
"(54, 33, 34, 48)"
"(45, 6, 23, 53)"
"(42, 24, 40, 45)"
"(25, 46, 22, 26)"
"(44, 16, 2, 55)"
"(24, 30, 10, 56)"
"(45, 20, 51, 29)"
"(21, 10, 27, 34)"
"(10, 50, 8, 6)"
"(6, 9, 34, 44)"
"(12, 52, 4, 43)"
"(44, 55, 51, 42)"
"(8, 44, 14, 30)"
"(33, 23, 25, 0)"
"(35, 39, 56, 9)"
"(29, 49, 21, 41)"
"(29, 6, 26, 42)"
"(5, 37, 43, 37)"
"(54, 1, 54, 42)"
"(28, 36, 44, 45)"
"(30, 36, 26, 40)"
"(9, 56, 12, 55)"
"(10, 54, 34, 11)"
"(9, 35, 33, 51)"
"(35, 25, 52, 0)"
"(9, 5, 17, 5)"
"(49, 13, 14, 18)"
"(51, 23, 46, 22)"
"(18, 21, 4, 26)"
"(35, 20, 6, 47)"
"(30, 17, 17, 51)"
"(12, 34, 1, 8)"
"(28, 37, 8, 8)"
"(48, 46, 35, 26)"
"(37, 54, 56, 54)"
"(43, 11, 44, 53)"
"(35, 44, 5, 40)"
"(38, 15, 45, 32)"
"(41, 7, 2, 27)"
"(39, 20, 19, 51)"
"(2, 42, 25, 53)"
"(17, 44, 7, 16)"
"(11, 11, 56, 43)"
"(25, 3, 30, 8)"
"(50, 29, 24, 55)"
"(22, 41, 32, 49)"
"(25, 14, 54, 26)"
"(1, 0, 29, 42)"
"(3, 24, 26, 10)"
"(21, 3, 23, 24)"
"(40, 28, 34, 34)"
"(40, 48, 52, 49)"
"(30, 40, 40, 22)"
"(56, 2, 55, 44)"
"(52, 46, 8, 2)"
"(40, 6, 30, 51)"
"(2, 38, 5, 55)"
"(46, 7, 14, 46)"
"(34, 45, 15, 1)"
"(28, 23, 51, 32)"
"(31, 10, 14, 39)"
"(35, 42, 28, 46)"
"(25, 21, 31, 26)"
"(53, 29, 9, 1)"
"(3, 19, 19, 25)"
"(27, 29, 55, 43)"
"(27, 49, 44, 50)"
"(23, 48, 14, 23)"
"(0, 56, 13, 52)"
"(17, 8, 30, 35)"
"(29, 17, 24, 11)"
"(56, 39, 0, 46)"
"(56, 40, 8, 15)"
"(34, 33, 49, 55)"
"(14, 35, 46, 12)"
"(15, 25, 0, 29)"
"(41, 28, 44, 23)"
"(46, 20, 53, 42)"
"(25, 52, 33, 49)"
"(31, 53, 6, 34)"
"(7, 21, 24, 12)"
"(42, 44, 55, 5)"
"(29, 9, 52, 34)"
"(39, 37, 1, 13)"
