"(33, 7, 13)"
"(24, 43, 29)"
"(3, 0, 41)"
"(46, 9, 16)"
"(30, 37, 22)"
"(34, 15, 28)"
"(45, 4, 41)"
"(2, 3, 34)"
"(43, 0, 16)"
"(23, 1, 33)"
"(2, 18, 19)"
"(8, 15, 29)"
"(45, 25, 5)"
"(16, 9, 20)"
"(22, 38, 10)"
"(20, 30, 13)"
"(25, 34, 24)"
"(7, 18, 23)"
"(9, 36, 4)"
"(30, 14, 18)"
"(11, 15, 15)"
"(37, 19, 15)"
"(32, 46, 7)"
"(2, 6, 9)"
"(7, 44, 3)"
"(1, 11, 14)"
"(31, 45, 23)"
"(45, 47, 40)"
"(6, 18, 4)"
"(34, 8, 13)"
"(17, 19, 19)"
"(1, 44, 15)"
"(25, 30, 37)"
"(20, 20, 20)"
"(0, 29, 32)"
"(17, 37, 0)"
"(46, 21, 31)"
"(19, 36, 32)"
"(23, 16, 17)"
"(10, 21, 42)"
"(34, 16, 43)"
"(30, 39, 13)"
"(32, 0, 28)"
"(1, 29, 16)"
"(44, 38, 12)"
"(5, 37, 28)"
"(46, 39, 13)"
"(28, 17, 26)"
"(7, 14, 37)"
"(7, 45, 34)"
"(22, 9, 25)"
"(3, 39, 46)"
"(45, 3, 3)"
"(37, 16, 3)"
"(39, 13, 15)"
"(42, 6, 19)"
"(32, 2, 11)"
"(30, 42, 12)"
"(11, 17, 22)"
"(2, 27, 26)"
"(20, 19, 14)"
"(44, 17, 28)"
"(14, 12, 36)"
"(38, 40, 44)"
"(30, 19, 42)"
"(17, 5, 10)"
"(10, 37, 39)"
"(17, 38, 20)"
"(39, 41, 44)"
"(8, 12, 34)"
"(46, 27, 37)"
"(43, 44, 9)"
"(2, 7, 22)"
"(1, 1, 30)"
"(44, 11, 46)"
"(4, 14, 6)"
"(12, 7, 9)"
"(16, 27, 16)"
"(9, 15, 13)"
"(4, 24, 46)"
"(9, 22, 23)"
"(24, 0, 22)"
"(43, 31, 4)"
"(18, 5, 32)"
"(18, 26, 40)"
"(20, 42, 10)"
"(10, 42, 12)"
"(17, 42, 28)"
"(29, 47, 38)"
"(45, 37, 17)"
"(4, 40, 22)"
"(6, 35, 30)"
"(3, 12, 30)"
"(34, 17, 30)"
"(0, 8, 0)"
"(11, 32, 43)"
"(37, 1, 3)"
"(40, 19, 27)"
"(30, 22, 2)"
"(15, 38, 31)"
