"(36, 4, 15)"
"(19, 45, 46)"
"(13, 27, 56)"
"(48, 51, 17)"
"(14, 54, 13)"
"(16, 57, 52)"
"(48, 58, 11)"
"(41, 45, 48)"
"(35, 25, 2)"
"(4, 32, 31)"
"(3, 22, 58)"
"(54, 12, 2)"
"(21, 49, 19)"
"(37, 34, 8)"
"(49, 48, 19)"
"(20, 14, 57)"
"(52, 37, 29)"
"(55, 12, 29)"
"(31, 12, 5)"
"(23, 27, 14)"
"(7, 29, 19)"
"(40, 0, 29)"
"(20, 6, 45)"
"(13, 39, 6)"
"(57, 3, 42)"
"(55, 8, 34)"
"(45, 13, 50)"
"(51, 43, 0)"
"(45, 24, 45)"
"(19, 33, 33)"
"(26, 43, 49)"
"(18, 51, 51)"
"(36, 34, 49)"
"(13, 52, 50)"
"(21, 4, 54)"
"(0, 23, 43)"
"(53, 22, 42)"
"(45, 17, 31)"
"(10, 34, 31)"
"(8, 15, 39)"
"(34, 5, 35)"
"(36, 50, 14)"
"(21, 36, 17)"
"(31, 18, 41)"
"(17, 56, 37)"
"(58, 46, 1)"
"(49, 26, 57)"
"(30, 5, 29)"
"(12, 37, 2)"
"(31, 10, 20)"
"(50, 15, 40)"
"(41, 40, 24)"
"(42, 53, 20)"
"(32, 40, 42)"
"(17, 11, 13)"
"(0, 52, 12)"
"(33, 16, 7)"
"(41, 57, 48)"
"(54, 34, 14)"
"(28, 23, 40)"
"(46, 43, 57)"
"(0, 28, 13)"
"(32, 40, 53)"
"(26, 27, 56)"
"(26, 45, 40)"
"(33, 44, 3)"
"(23, 39, 26)"
"(13, 56, 27)"
"(20, 39, 41)"
"(37, 57, 57)"
"(40, 3, 7)"
"(51, 57, 17)"
"(4, 51, 39)"
"(2, 14, 5)"
"(40, 44, 53)"
"(52, 50, 35)"
"(9, 30, 23)"
"(13, 50, 17)"
"(51, 25, 9)"
"(55, 22, 8)"
"(53, 52, 0)"
"(9, 22, 25)"
"(14, 32, 45)"
"(50, 4, 44)"
"(31, 32, 31)"
"(36, 7, 16)"
"(1, 40, 31)"
"(34, 13, 34)"
"(18, 57, 44)"
"(30, 7, 31)"
"(6, 54, 6)"
"(45, 29, 22)"
"(58, 18, 1)"
"(6, 50, 27)"
"(51, 50, 15)"
"(21, 29, 42)"
"(38, 29, 8)"
"(33, 41, 48)"
"(29, 26, 18)"
"(1, 49, 40)"
