"(15, 25, 12)"
"(26, 16, 2)"
"(16, 5, 6)"
"(20, 6, 13)"
"(8, 17, 15)"
"(28, 6, 24)"
"(25, 1, 18)"
"(6, 10, 28)"
"(28, 12, 28)"
"(21, 15, 13)"
"(19, 10, 4)"
"(23, 0, 0)"
"(21, 15, 21)"
"(9, 2, 20)"
"(2, 26, 21)"
"(11, 4, 25)"
"(18, 27, 26)"
"(16, 13, 1)"
"(8, 1, 14)"
"(20, 11, 3)"
"(18, 21, 2)"
"(14, 23, 16)"
"(26, 1, 13)"
"(5, 12, 16)"
"(9, 11, 2)"
"(20, 2, 5)"
"(4, 27, 11)"
"(13, 24, 2)"
"(27, 28, 11)"
"(9, 18, 3)"
"(12, 15, 3)"
"(5, 1, 23)"
"(9, 24, 25)"
"(5, 7, 17)"
"(3, 15, 3)"
"(9, 28, 17)"
"(20, 23, 17)"
"(26, 3, 13)"
"(10, 1, 28)"
"(0, 19, 22)"
"(5, 25, 11)"
"(24, 25, 28)"
"(6, 4, 21)"
"(0, 19, 6)"
"(8, 4, 21)"
"(12, 20, 11)"
"(9, 27, 5)"
"(7, 12, 5)"
"(2, 12, 16)"
"(2, 6, 7)"
"(1, 19, 20)"
"(2, 15, 6)"
"(19, 25, 16)"
"(11, 9, 7)"
"(23, 11, 21)"
"(24, 1, 15)"
"(1, 26, 13)"
"(1, 3, 1)"
"(26, 15, 22)"
"(13, 22, 10)"
"(14, 26, 17)"
"(7, 10, 18)"
"(11, 21, 27)"
"(14, 22, 21)"
"(5, 18, 15)"
"(22, 18, 27)"
"(24, 3, 24)"
"(28, 4, 18)"
"(16, 22, 1)"
"(6, 23, 12)"
"(23, 20, 7)"
"(27, 9, 28)"
"(10, 7, 5)"
"(11, 22, 17)"
"(5, 23, 24)"
"(23, 27, 28)"
"(19, 3, 16)"
"(20, 2, 22)"
"(19, 6, 12)"
"(17, 6, 19)"
"(20, 12, 13)"
"(9, 24, 8)"
"(6, 0, 28)"
"(18, 21, 9)"
"(24, 24, 22)"
"(18, 26, 8)"
"(28, 4, 7)"
"(8, 22, 28)"
"(27, 6, 13)"
"(8, 19, 10)"
"(23, 27, 0)"
"(22, 0, 18)"
"(4, 6, 25)"
"(22, 23, 19)"
"(20, 19, 8)"
"(17, 27, 2)"
"(16, 3, 21)"
"(2, 13, 2)"
"(12, 8, 22)"
"(6, 3, 15)"
