"(0,)"
"(11,)"
"(15,)"
"(21,)"
"(0,)"
"(13,)"
"(2,)"
"(3,)"
"(23,)"
"(25,)"
"(19,)"
"(8,)"
"(24,)"
"(14,)"
"(9,)"
"(4,)"
"(12,)"
"(26,)"
"(23,)"
"(7,)"
"(13,)"
"(3,)"
"(24,)"
"(6,)"
"(11,)"
"(1,)"
"(20,)"
"(5,)"
"(21,)"
"(22,)"
"(17,)"
"(13,)"
"(16,)"
"(23,)"
"(15,)"
"(6,)"
"(26,)"
"(21,)"
"(7,)"
"(4,)"
"(13,)"
"(6,)"
"(9,)"
"(21,)"
"(8,)"
"(5,)"
"(7,)"
"(23,)"
"(22,)"
"(6,)"
"(14,)"
"(4,)"
"(1,)"
"(8,)"
"(3,)"
"(12,)"
"(9,)"
"(17,)"
"(0,)"
"(11,)"
"(16,)"
"(1,)"
"(24,)"
"(1,)"
"(5,)"
"(20,)"
"(16,)"
"(6,)"
"(3,)"
"(18,)"
"(20,)"
"(6,)"
"(9,)"
"(15,)"
"(17,)"
"(16,)"
"(11,)"
"(6,)"
"(2,)"
"(24,)"
"(10,)"
"(24,)"
"(5,)"
"(8,)"
"(16,)"
"(22,)"
"(8,)"
"(3,)"
"(19,)"
"(11,)"
"(7,)"
"(12,)"
"(26,)"
"(25,)"
"(19,)"
"(1,)"
"(2,)"
"(2,)"
"(16,)"
"(0,)"
