"(84, 64, 144)"
"(53, 123, 13)"
"(232, 22, 119)"
"(134, 77, 145)"
"(165, 234, 176)"
"(75, 144, 25)"
"(236, 31, 26)"
"(250, 228, 77)"
"(190, 245, 54)"
"(28, 115, 149)"
"(218, 191, 187)"
"(25, 225, 48)"
"(115, 27, 238)"
"(131, 27, 242)"
"(0, 115, 165)"
"(133, 206, 244)"
"(44, 166, 88)"
"(29, 227, 70)"
"(245, 235, 209)"
"(124, 199, 196)"
"(142, 63, 183)"
"(60, 159, 204)"
"(6, 217, 74)"
"(117, 124, 122)"
"(138, 239, 249)"
"(31, 232, 9)"
"(97, 182, 237)"
"(194, 231, 35)"
"(57, 248, 11)"
"(86, 25, 40)"
"(151, 0, 162)"
"(79, 180, 209)"
"(244, 141, 135)"
"(185, 112, 3)"
"(9, 41, 182)"
"(97, 185, 222)"
"(83, 56, 239)"
"(209, 26, 69)"
"(79, 127, 232)"
"(201, 217, 178)"
"(29, 169, 76)"
"(235, 217, 49)"
"(55, 98, 201)"
"(196, 77, 240)"
"(85, 49, 187)"
"(119, 208, 177)"
"(190, 30, 1)"
"(161, 228, 14)"
"(52, 135, 126)"
"(158, 208, 191)"
"(201, 151, 190)"
"(75, 149, 207)"
"(5, 7, 234)"
"(241, 198, 46)"
"(121, 67, 33)"
"(186, 194, 184)"
"(227, 23, 14)"
"(155, 230, 90)"
"(23, 246, 173)"
"(200, 92, 28)"
"(128, 48, 14)"
"(167, 17, 167)"
"(97, 251, 53)"
"(43, 95, 80)"
"(55, 25, 172)"
"(232, 85, 107)"
"(139, 55, 214)"
"(167, 232, 107)"
"(71, 213, 216)"
"(67, 39, 167)"
"(226, 194, 82)"
"(49, 246, 190)"
"(28, 103, 214)"
"(203, 190, 149)"
"(84, 41, 19)"
"(54, 134, 211)"
"(221, 246, 168)"
"(153, 241, 190)"
"(136, 23, 65)"
"(176, 8, 216)"
"(182, 174, 110)"
"(54, 219, 206)"
"(68, 161, 193)"
"(241, 94, 102)"
"(4, 75, 125)"
"(27, 12, 50)"
"(54, 76, 157)"
"(122, 99, 51)"
"(13, 226, 199)"
"(124, 89, 192)"
"(141, 75, 85)"
"(18, 29, 70)"
"(30, 246, 106)"
"(93, 245, 67)"
"(166, 172, 119)"
"(61, 180, 225)"
"(220, 140, 19)"
"(5, 165, 225)"
"(191, 153, 147)"
"(101, 236, 0)"
