"(6, 19, 19)"
"(4, 6, 9)"
"(15, 5, 16)"
"(28, 25, 27)"
"(24, 17, 12)"
"(23, 4, 3)"
"(19, 20, 5)"
"(24, 3, 21)"
"(11, 24, 8)"
"(10, 12, 0)"
"(2, 15, 23)"
"(25, 9, 14)"
"(22, 14, 23)"
"(1, 15, 16)"
"(8, 7, 1)"
"(29, 13, 6)"
"(15, 29, 29)"
"(2, 28, 5)"
"(19, 6, 25)"
"(27, 18, 3)"
"(7, 13, 21)"
"(4, 17, 6)"
"(11, 21, 13)"
"(4, 14, 28)"
"(1, 4, 22)"
"(13, 13, 25)"
"(15, 14, 24)"
"(28, 6, 24)"
"(28, 6, 12)"
"(29, 8, 5)"
"(23, 12, 28)"
"(21, 12, 18)"
"(22, 6, 15)"
"(7, 18, 5)"
"(1, 17, 2)"
"(17, 17, 12)"
"(25, 13, 28)"
"(29, 17, 16)"
"(14, 27, 7)"
"(14, 22, 13)"
"(3, 5, 7)"
"(20, 28, 0)"
"(9, 7, 15)"
"(8, 25, 28)"
"(11, 21, 18)"
"(27, 23, 25)"
"(19, 0, 10)"
"(11, 0, 18)"
"(11, 7, 13)"
"(12, 15, 22)"
"(25, 1, 13)"
"(19, 25, 20)"
"(4, 10, 24)"
"(8, 19, 23)"
"(26, 28, 19)"
"(25, 19, 19)"
"(10, 2, 22)"
"(1, 8, 12)"
"(9, 5, 29)"
"(13, 18, 26)"
"(1, 2, 1)"
"(24, 19, 25)"
"(27, 7, 4)"
"(28, 26, 17)"
"(22, 14, 1)"
"(3, 5, 25)"
"(28, 4, 18)"
"(24, 16, 17)"
"(24, 25, 1)"
"(23, 14, 0)"
"(15, 0, 18)"
"(20, 9, 13)"
"(22, 29, 10)"
"(5, 7, 22)"
"(23, 3, 1)"
"(12, 29, 17)"
"(16, 10, 1)"
"(10, 18, 17)"
"(20, 11, 4)"
"(18, 16, 9)"
"(26, 27, 10)"
"(20, 10, 18)"
"(9, 23, 21)"
"(28, 0, 4)"
"(4, 25, 25)"
"(22, 18, 2)"
"(3, 15, 11)"
"(21, 14, 13)"
"(9, 15, 13)"
"(10, 8, 21)"
"(29, 4, 5)"
"(11, 19, 20)"
"(13, 3, 16)"
"(23, 23, 18)"
"(14, 16, 7)"
"(11, 23, 22)"
"(28, 14, 10)"
"(26, 24, 27)"
"(0, 13, 28)"
"(23, 29, 17)"
