"(23, 21, 35, 9, 12)"
"(18, 38, 3, 37, 8)"
"(10, 11, 14, 35, 41)"
"(18, 37, 0, 4, 14)"
"(17, 5, 12, 40, 2)"
"(37, 9, 17, 14, 18)"
"(40, 30, 33, 30, 21)"
"(27, 26, 18, 39, 41)"
"(32, 24, 41, 24, 20)"
"(28, 5, 40, 29, 0)"
"(10, 38, 35, 16, 17)"
"(0, 9, 35, 40, 7)"
"(6, 32, 22, 24, 22)"
"(18, 2, 40, 6, 30)"
"(3, 3, 22, 19, 27)"
"(28, 17, 25, 9, 13)"
"(6, 16, 17, 25, 34)"
"(0, 18, 37, 27, 7)"
"(1, 37, 13, 1, 14)"
"(40, 34, 0, 8, 9)"
"(22, 6, 33, 32, 11)"
"(13, 24, 29, 6, 25)"
"(18, 11, 23, 23, 34)"
"(18, 35, 28, 32, 25)"
"(40, 15, 28, 14, 15)"
"(8, 41, 17, 7, 41)"
"(11, 38, 12, 2, 8)"
"(40, 17, 40, 39, 6)"
"(11, 18, 17, 38, 10)"
"(22, 38, 33, 12, 25)"
"(33, 14, 24, 32, 40)"
"(1, 16, 0, 15, 35)"
"(38, 8, 39, 36, 34)"
"(32, 29, 37, 10, 6)"
"(26, 12, 33, 26, 7)"
"(36, 27, 8, 18, 13)"
"(34, 1, 27, 23, 33)"
"(41, 24, 4, 27, 38)"
"(25, 37, 40, 38, 0)"
"(3, 1, 36, 2, 38)"
"(41, 27, 1, 40, 23)"
"(40, 4, 14, 28, 21)"
"(4, 28, 33, 17, 26)"
"(36, 4, 6, 6, 14)"
"(10, 26, 19, 28, 6)"
"(36, 41, 12, 7, 18)"
"(26, 26, 1, 16, 34)"
"(16, 31, 37, 41, 1)"
"(36, 27, 32, 25, 35)"
"(41, 6, 38, 16, 1)"
"(7, 20, 15, 26, 20)"
"(38, 5, 6, 24, 7)"
"(9, 32, 14, 13, 9)"
"(31, 8, 28, 4, 3)"
"(25, 25, 18, 7, 35)"
"(40, 7, 17, 10, 14)"
"(31, 8, 32, 4, 14)"
"(40, 18, 10, 27, 17)"
"(26, 6, 15, 15, 21)"
"(29, 0, 17, 35, 4)"
"(27, 36, 20, 0, 33)"
"(38, 31, 35, 7, 19)"
"(19, 40, 22, 33, 36)"
"(0, 8, 1, 9, 13)"
"(16, 19, 5, 1, 1)"
"(13, 23, 21, 33, 1)"
"(38, 25, 23, 34, 16)"
"(29, 19, 12, 23, 12)"
"(26, 36, 40, 13, 11)"
"(14, 19, 3, 9, 11)"
"(30, 3, 30, 36, 18)"
"(36, 14, 18, 29, 40)"
"(16, 9, 11, 30, 32)"
"(13, 8, 37, 36, 41)"
"(25, 9, 18, 22, 11)"
"(26, 37, 21, 20, 34)"
"(30, 1, 6, 7, 22)"
"(27, 20, 7, 5, 8)"
"(20, 20, 9, 34, 3)"
"(33, 34, 3, 21, 38)"
"(10, 38, 14, 20, 18)"
"(11, 25, 15, 2, 8)"
"(10, 24, 5, 24, 10)"
"(3, 41, 25, 26, 6)"
"(32, 26, 37, 9, 33)"
"(5, 37, 12, 3, 8)"
"(38, 15, 24, 29, 21)"
"(0, 5, 31, 20, 23)"
"(10, 36, 32, 0, 26)"
"(1, 29, 0, 1, 22)"
"(27, 25, 41, 16, 31)"
"(6, 36, 23, 4, 37)"
"(24, 23, 19, 13, 39)"
"(14, 7, 13, 41, 16)"
"(26, 28, 5, 34, 29)"
"(14, 41, 1, 18, 2)"
"(12, 19, 23, 40, 4)"
"(41, 40, 28, 41, 21)"
"(20, 3, 4, 6, 20)"
"(29, 29, 14, 1, 32)"
