"(100, 37)"
"(11, 108)"
"(171, 138)"
"(7, 40)"
"(88, 120)"
"(70, 130)"
"(39, 87)"
"(18, 53)"
"(76, 153)"
"(5, 50)"
"(115, 51)"
"(158, 51)"
"(60, 64)"
"(126, 100)"
"(107, 119)"
"(80, 46)"
"(149, 2)"
"(172, 161)"
"(128, 64)"
"(111, 83)"
"(57, 76)"
"(139, 121)"
"(71, 10)"
"(5, 138)"
"(145, 117)"
"(148, 9)"
"(102, 41)"
"(10, 151)"
"(157, 24)"
"(31, 173)"
"(68, 33)"
"(103, 175)"
"(170, 146)"
"(157, 102)"
"(25, 126)"
"(31, 29)"
"(12, 2)"
"(131, 100)"
"(113, 118)"
"(156, 88)"
"(78, 98)"
"(61, 163)"
"(172, 127)"
"(12, 111)"
"(61, 107)"
"(76, 38)"
"(67, 173)"
"(75, 16)"
"(2, 140)"
"(147, 138)"
"(109, 79)"
"(81, 67)"
"(175, 162)"
"(146, 24)"
"(133, 59)"
"(123, 100)"
"(72, 5)"
"(39, 132)"
"(140, 45)"
"(140, 164)"
"(49, 22)"
"(69, 12)"
"(143, 31)"
"(109, 91)"
"(151, 36)"
"(66, 13)"
"(45, 118)"
"(96, 174)"
"(37, 56)"
"(138, 160)"
"(116, 97)"
"(91, 120)"
"(134, 86)"
"(53, 92)"
"(144, 168)"
"(94, 115)"
"(64, 176)"
"(60, 59)"
"(105, 104)"
"(91, 48)"
"(54, 8)"
"(92, 119)"
"(99, 101)"
"(77, 31)"
"(139, 146)"
"(28, 47)"
"(124, 95)"
"(40, 143)"
"(59, 161)"
"(24, 72)"
"(109, 31)"
"(72, 53)"
"(54, 23)"
"(123, 138)"
"(79, 144)"
"(1, 144)"
"(29, 20)"
"(61, 110)"
"(97, 49)"
"(10, 18)"
