"(0, 5)"
"(1, 10)"
"(0, 3)"
"(1, 3)"
"(0, 10)"
"(6, 9)"
"(2, 3)"
"(0, 0)"
"(3, 7)"
"(9, 10)"
"(3, 9)"
"(0, 3)"
"(2, 8)"
"(8, 6)"
"(4, 0)"
"(6, 1)"
"(0, 7)"
"(10, 2)"
"(1, 5)"
"(2, 0)"
"(6, 4)"
"(7, 1)"
"(6, 0)"
"(0, 2)"
"(6, 5)"
"(3, 5)"
"(3, 1)"
"(5, 1)"
"(1, 4)"
"(6, 3)"
"(3, 4)"
"(6, 4)"
"(1, 2)"
"(5, 8)"
"(10, 1)"
"(5, 3)"
"(2, 7)"
"(9, 7)"
"(4, 6)"
"(0, 4)"
"(6, 2)"
"(1, 0)"
"(6, 1)"
"(4, 5)"
"(7, 9)"
"(6, 0)"
"(3, 3)"
"(2, 1)"
"(6, 1)"
"(7, 6)"
"(4, 9)"
"(7, 7)"
"(5, 7)"
"(3, 10)"
"(10, 2)"
"(3, 10)"
"(5, 0)"
"(3, 10)"
"(5, 8)"
"(3, 8)"
"(2, 5)"
"(10, 9)"
"(2, 5)"
"(1, 4)"
"(3, 6)"
"(7, 2)"
"(2, 3)"
"(1, 10)"
"(7, 2)"
"(4, 5)"
"(1, 8)"
"(1, 1)"
"(2, 6)"
"(5, 6)"
"(6, 1)"
"(1, 8)"
"(7, 8)"
"(10, 6)"
"(5, 1)"
"(3, 2)"
"(3, 1)"
"(5, 9)"
"(4, 10)"
"(2, 6)"
"(1, 2)"
"(10, 4)"
"(7, 3)"
"(1, 0)"
"(2, 3)"
"(9, 2)"
"(4, 8)"
"(4, 2)"
"(6, 9)"
"(8, 8)"
"(2, 5)"
"(3, 4)"
"(2, 9)"
"(5, 6)"
"(2, 2)"
"(1, 6)"
