"(48, 42)"
"(63, 0)"
"(43, 35)"
"(38, 58)"
"(33, 37)"
"(68, 64)"
"(31, 52)"
"(11, 58)"
"(11, 44)"
"(33, 26)"
"(26, 26)"
"(44, 62)"
"(66, 5)"
"(9, 64)"
"(25, 30)"
"(4, 23)"
"(23, 28)"
"(53, 9)"
"(24, 66)"
"(9, 69)"
"(68, 45)"
"(28, 0)"
"(5, 65)"
"(27, 8)"
"(53, 8)"
"(11, 26)"
"(25, 60)"
"(30, 64)"
"(33, 37)"
"(46, 46)"
"(23, 48)"
"(29, 67)"
"(32, 4)"
"(15, 66)"
"(18, 39)"
"(39, 7)"
"(45, 60)"
"(54, 11)"
"(64, 15)"
"(15, 22)"
"(23, 41)"
"(39, 10)"
"(57, 58)"
"(18, 60)"
"(55, 31)"
"(39, 43)"
"(17, 38)"
"(28, 51)"
"(19, 59)"
"(59, 36)"
"(27, 54)"
"(31, 57)"
"(46, 45)"
"(41, 38)"
"(27, 53)"
"(46, 6)"
"(24, 61)"
"(46, 35)"
"(45, 50)"
"(43, 54)"
"(39, 15)"
"(56, 14)"
"(32, 25)"
"(12, 42)"
"(60, 12)"
"(67, 41)"
"(37, 57)"
"(67, 42)"
"(40, 42)"
"(20, 67)"
"(60, 63)"
"(9, 51)"
"(56, 13)"
"(1, 23)"
"(23, 34)"
"(4, 67)"
"(50, 32)"
"(53, 57)"
"(63, 61)"
"(24, 68)"
"(30, 31)"
"(25, 7)"
"(31, 50)"
"(61, 53)"
"(57, 5)"
"(69, 39)"
"(58, 40)"
"(24, 34)"
"(4, 16)"
"(46, 56)"
"(29, 2)"
"(1, 19)"
"(39, 46)"
"(12, 3)"
"(25, 53)"
"(30, 61)"
"(13, 64)"
"(38, 8)"
"(55, 17)"
"(13, 36)"
