"(7,)"
"(26,)"
"(8,)"
"(12,)"
"(11,)"
"(15,)"
"(9,)"
"(4,)"
"(10,)"
"(17,)"
"(6,)"
"(18,)"
"(25,)"
"(11,)"
"(10,)"
"(10,)"
"(7,)"
"(4,)"
"(18,)"
"(19,)"
"(24,)"
"(16,)"
"(16,)"
"(20,)"
"(17,)"
"(13,)"
"(4,)"
"(2,)"
"(11,)"
"(14,)"
"(24,)"
"(2,)"
"(2,)"
"(8,)"
"(24,)"
"(18,)"
"(18,)"
"(24,)"
"(26,)"
"(21,)"
"(7,)"
"(20,)"
"(0,)"
"(11,)"
"(18,)"
"(27,)"
"(11,)"
"(21,)"
"(7,)"
"(25,)"
"(3,)"
"(4,)"
"(5,)"
"(18,)"
"(22,)"
"(25,)"
"(10,)"
"(15,)"
"(14,)"
"(27,)"
"(17,)"
"(19,)"
"(2,)"
"(11,)"
"(8,)"
"(23,)"
"(17,)"
"(7,)"
"(19,)"
"(7,)"
"(3,)"
"(25,)"
"(26,)"
"(10,)"
"(22,)"
"(7,)"
"(5,)"
"(21,)"
"(19,)"
"(2,)"
"(8,)"
"(0,)"
"(23,)"
"(23,)"
"(7,)"
"(10,)"
"(11,)"
"(5,)"
"(21,)"
"(3,)"
"(21,)"
"(13,)"
"(10,)"
"(0,)"
"(5,)"
"(23,)"
"(27,)"
"(24,)"
"(6,)"
"(25,)"
