"(32, 7, 16)"
"(37, 13, 39)"
"(45, 37, 40)"
"(11, 8, 14)"
"(13, 14, 29)"
"(23, 24, 7)"
"(26, 18, 20)"
"(5, 17, 34)"
"(43, 23, 37)"
"(20, 14, 10)"
"(9, 23, 16)"
"(17, 37, 46)"
"(20, 41, 20)"
"(40, 23, 40)"
"(21, 9, 26)"
"(35, 16, 21)"
"(22, 39, 10)"
"(20, 41, 28)"
"(19, 32, 8)"
"(41, 4, 7)"
"(41, 44, 21)"
"(7, 19, 32)"
"(35, 3, 23)"
"(0, 4, 28)"
"(13, 2, 8)"
"(26, 37, 5)"
"(28, 0, 25)"
"(12, 3, 4)"
"(10, 46, 7)"
"(1, 23, 17)"
"(13, 8, 11)"
"(23, 9, 46)"
"(29, 28, 31)"
"(2, 19, 29)"
"(15, 38, 12)"
"(23, 43, 25)"
"(36, 30, 28)"
"(46, 39, 14)"
"(15, 39, 4)"
"(41, 22, 34)"
"(26, 26, 21)"
"(43, 11, 13)"
"(41, 16, 14)"
"(8, 45, 17)"
"(27, 7, 16)"
"(15, 10, 45)"
"(2, 39, 19)"
"(35, 28, 39)"
"(42, 7, 5)"
"(24, 41, 2)"
"(29, 12, 9)"
"(36, 31, 33)"
"(12, 1, 43)"
"(2, 41, 35)"
"(42, 19, 21)"
"(7, 10, 46)"
"(35, 46, 24)"
"(29, 10, 19)"
"(3, 12, 28)"
"(24, 44, 9)"
"(4, 2, 12)"
"(25, 16, 38)"
"(30, 46, 5)"
"(29, 21, 6)"
"(26, 39, 17)"
"(3, 6, 30)"
"(45, 2, 13)"
"(42, 12, 14)"
"(40, 30, 26)"
"(19, 29, 7)"
"(27, 40, 29)"
"(12, 42, 46)"
"(34, 37, 28)"
"(30, 35, 30)"
"(21, 27, 36)"
"(38, 35, 3)"
"(17, 43, 26)"
"(43, 11, 28)"
"(18, 26, 0)"
"(37, 40, 5)"
"(27, 23, 2)"
"(18, 25, 0)"
"(46, 36, 15)"
"(7, 10, 36)"
"(33, 26, 7)"
"(20, 33, 40)"
"(22, 22, 46)"
"(6, 29, 32)"
"(45, 3, 38)"
"(39, 11, 2)"
"(38, 10, 5)"
"(37, 22, 15)"
"(7, 29, 11)"
"(44, 30, 41)"
"(38, 31, 19)"
"(0, 31, 35)"
"(8, 26, 19)"
"(25, 13, 18)"
"(33, 36, 35)"
"(4, 24, 30)"
