"(4, 26, 25)"
"(12, 17, 25)"
"(16, 22, 20)"
"(19, 11, 6)"
"(19, 23, 0)"
"(4, 10, 0)"
"(6, 10, 24)"
"(7, 14, 10)"
"(25, 16, 22)"
"(15, 7, 5)"
"(17, 10, 2)"
"(14, 15, 16)"
"(4, 16, 5)"
"(15, 24, 21)"
"(19, 0, 3)"
"(4, 25, 18)"
"(19, 7, 12)"
"(21, 15, 18)"
"(10, 4, 12)"
"(23, 14, 17)"
"(26, 10, 9)"
"(24, 5, 0)"
"(14, 26, 19)"
"(6, 18, 26)"
"(13, 14, 18)"
"(7, 24, 20)"
"(7, 14, 7)"
"(0, 17, 15)"
"(20, 5, 14)"
"(3, 22, 6)"
"(16, 25, 4)"
"(5, 7, 6)"
"(20, 24, 0)"
"(20, 2, 10)"
"(19, 22, 14)"
"(0, 3, 1)"
"(18, 10, 5)"
"(18, 11, 22)"
"(23, 21, 3)"
"(13, 5, 19)"
"(11, 6, 11)"
"(17, 12, 2)"
"(23, 0, 2)"
"(16, 19, 21)"
"(19, 23, 23)"
"(14, 17, 7)"
"(8, 11, 19)"
"(17, 6, 7)"
"(19, 5, 6)"
"(13, 13, 18)"
"(15, 12, 17)"
"(2, 21, 23)"
"(24, 6, 16)"
"(4, 5, 16)"
"(16, 3, 24)"
"(0, 12, 4)"
"(1, 8, 21)"
"(20, 1, 2)"
"(2, 6, 3)"
"(21, 26, 0)"
"(23, 11, 19)"
"(22, 11, 1)"
"(21, 14, 21)"
"(25, 3, 3)"
"(1, 16, 9)"
"(8, 12, 21)"
"(13, 16, 0)"
"(5, 15, 25)"
"(9, 6, 16)"
"(12, 0, 1)"
"(11, 3, 24)"
"(6, 19, 16)"
"(6, 24, 23)"
"(21, 23, 17)"
"(14, 23, 24)"
"(19, 8, 20)"
"(15, 15, 7)"
"(23, 4, 12)"
"(16, 24, 15)"
"(8, 6, 25)"
"(6, 25, 12)"
"(4, 6, 23)"
"(1, 19, 4)"
"(22, 18, 26)"
"(24, 21, 2)"
"(1, 3, 0)"
"(21, 11, 20)"
"(0, 10, 15)"
"(19, 15, 8)"
"(7, 22, 9)"
"(22, 24, 5)"
"(6, 8, 1)"
"(15, 6, 20)"
"(16, 12, 22)"
"(18, 18, 12)"
"(7, 23, 10)"
"(2, 5, 0)"
"(19, 25, 11)"
"(25, 18, 9)"
"(24, 12, 19)"
