"(24, 10, 37)"
"(34, 6, 10)"
"(17, 14, 14)"
"(50, 25, 0)"
"(38, 12, 50)"
"(33, 44, 1)"
"(9, 35, 9)"
"(53, 27, 38)"
"(36, 22, 45)"
"(31, 34, 36)"
"(4, 35, 55)"
"(18, 53, 12)"
"(11, 48, 42)"
"(35, 51, 21)"
"(10, 2, 33)"
"(32, 31, 42)"
"(16, 15, 38)"
"(48, 16, 12)"
"(44, 2, 11)"
"(38, 56, 17)"
"(7, 55, 13)"
"(1, 42, 54)"
"(43, 44, 54)"
"(23, 38, 11)"
"(6, 52, 54)"
"(6, 21, 21)"
"(2, 22, 23)"
"(2, 14, 11)"
"(17, 47, 51)"
"(44, 6, 47)"
"(12, 34, 14)"
"(12, 58, 31)"
"(1, 3, 13)"
"(42, 32, 47)"
"(15, 31, 7)"
"(31, 38, 35)"
"(13, 18, 23)"
"(25, 7, 49)"
"(5, 17, 8)"
"(1, 10, 58)"
"(2, 37, 9)"
"(59, 44, 33)"
"(40, 53, 40)"
"(47, 18, 38)"
"(14, 52, 18)"
"(8, 44, 1)"
"(19, 13, 23)"
"(21, 6, 8)"
"(52, 50, 17)"
"(21, 38, 18)"
"(50, 50, 53)"
"(8, 21, 37)"
"(1, 20, 43)"
"(52, 56, 3)"
"(25, 26, 1)"
"(12, 15, 13)"
"(42, 27, 14)"
"(42, 19, 53)"
"(53, 22, 49)"
"(7, 57, 51)"
"(20, 59, 1)"
"(5, 31, 33)"
"(16, 51, 17)"
"(42, 6, 21)"
"(25, 0, 37)"
"(55, 6, 29)"
"(48, 40, 27)"
"(48, 33, 25)"
"(36, 38, 14)"
"(8, 35, 52)"
"(49, 52, 59)"
"(19, 49, 49)"
"(45, 31, 13)"
"(52, 13, 53)"
"(48, 26, 14)"
"(20, 33, 44)"
"(57, 2, 47)"
"(14, 13, 26)"
"(8, 54, 46)"
"(41, 2, 5)"
"(45, 8, 52)"
"(55, 10, 19)"
"(45, 13, 39)"
"(58, 27, 19)"
"(55, 50, 31)"
"(32, 41, 18)"
"(2, 45, 48)"
"(59, 9, 55)"
"(58, 27, 18)"
"(17, 59, 26)"
"(1, 36, 2)"
"(37, 17, 5)"
"(9, 26, 45)"
"(26, 3, 53)"
"(21, 1, 40)"
"(46, 17, 43)"
"(47, 18, 6)"
"(34, 24, 1)"
"(28, 7, 23)"
"(44, 18, 17)"
