"(15, 30, 25, 17, 13)"
"(11, 22, 11, 23, 15)"
"(20, 1, 12, 4, 18)"
"(2, 1, 22, 17, 16)"
"(9, 25, 22, 28, 8)"
"(16, 10, 13, 8, 3)"
"(4, 24, 15, 23, 27)"
"(13, 18, 29, 7, 28)"
"(10, 4, 21, 30, 28)"
"(6, 11, 6, 29, 0)"
"(0, 28, 2, 2, 18)"
"(2, 20, 11, 29, 19)"
"(28, 4, 28, 7, 5)"
"(6, 11, 8, 29, 14)"
"(7, 22, 25, 13, 1)"
"(1, 25, 5, 10, 24)"
"(28, 7, 22, 9, 7)"
"(30, 30, 3, 5, 6)"
"(10, 4, 9, 19, 3)"
"(10, 19, 25, 21, 25)"
"(23, 0, 8, 16, 6)"
"(19, 28, 24, 26, 7)"
"(3, 13, 21, 5, 1)"
"(6, 7, 0, 17, 26)"
"(3, 29, 24, 3, 29)"
"(13, 19, 12, 13, 9)"
"(26, 16, 20, 8, 24)"
"(5, 23, 29, 28, 15)"
"(10, 27, 20, 29, 16)"
"(26, 14, 28, 14, 21)"
"(17, 7, 20, 15, 13)"
"(26, 21, 4, 3, 22)"
"(5, 23, 30, 11, 16)"
"(11, 27, 23, 23, 26)"
"(13, 13, 14, 9, 3)"
"(11, 6, 10, 24, 18)"
"(17, 25, 10, 28, 18)"
"(12, 8, 7, 2, 9)"
"(16, 2, 24, 25, 1)"
"(13, 20, 22, 29, 0)"
"(6, 17, 8, 22, 29)"
"(2, 16, 22, 24, 25)"
"(1, 10, 23, 9, 7)"
"(12, 21, 21, 24, 26)"
"(18, 1, 21, 22, 15)"
"(4, 18, 30, 23, 3)"
"(7, 22, 23, 12, 22)"
"(7, 6, 21, 13, 2)"
"(25, 28, 15, 6, 8)"
"(22, 1, 16, 19, 6)"
"(0, 26, 27, 14, 12)"
"(9, 14, 2, 22, 7)"
"(1, 1, 9, 26, 21)"
"(6, 23, 19, 14, 4)"
"(19, 10, 13, 16, 3)"
"(12, 25, 28, 27, 14)"
"(29, 5, 20, 0, 4)"
"(11, 2, 17, 23, 25)"
"(13, 26, 12, 27, 6)"
"(10, 2, 30, 27, 26)"
"(27, 0, 22, 11, 7)"
"(27, 3, 6, 19, 18)"
"(3, 17, 9, 8, 27)"
"(14, 26, 9, 23, 30)"
"(0, 28, 15, 22, 0)"
"(16, 16, 7, 14, 16)"
"(8, 24, 0, 30, 14)"
"(28, 9, 28, 22, 20)"
"(21, 18, 19, 1, 4)"
"(20, 4, 6, 14, 6)"
"(7, 18, 8, 2, 5)"
"(23, 13, 17, 27, 7)"
"(8, 6, 2, 0, 16)"
"(21, 16, 30, 27, 21)"
"(21, 23, 23, 12, 12)"
"(0, 5, 1, 0, 28)"
"(5, 10, 8, 11, 5)"
"(30, 30, 19, 23, 25)"
"(12, 16, 16, 20, 26)"
"(9, 26, 19, 22, 29)"
"(10, 21, 20, 1, 23)"
"(18, 4, 0, 10, 14)"
"(26, 8, 7, 30, 2)"
"(28, 21, 9, 3, 17)"
"(6, 18, 15, 17, 25)"
"(7, 22, 4, 28, 18)"
"(25, 10, 11, 1, 21)"
"(14, 28, 21, 4, 24)"
"(25, 2, 7, 4, 17)"
"(1, 15, 4, 24, 23)"
"(0, 6, 24, 23, 20)"
"(13, 25, 29, 28, 16)"
"(13, 11, 17, 15, 15)"
"(13, 27, 17, 24, 20)"
"(12, 27, 10, 22, 24)"
"(3, 26, 13, 6, 14)"
"(17, 19, 14, 2, 16)"
"(23, 14, 18, 21, 15)"
"(28, 1, 18, 10, 9)"
"(18, 6, 23, 11, 29)"
