"(39, 0, 21)"
"(27, 41, 33)"
"(6, 8, 8)"
"(2, 30, 44)"
"(41, 33, 29)"
"(10, 38, 15)"
"(38, 43, 42)"
"(9, 5, 36)"
"(5, 37, 26)"
"(10, 34, 19)"
"(22, 19, 0)"
"(14, 9, 23)"
"(37, 23, 31)"
"(11, 35, 21)"
"(14, 11, 36)"
"(34, 13, 11)"
"(18, 26, 2)"
"(5, 43, 21)"
"(37, 22, 22)"
"(6, 4, 7)"
"(9, 0, 21)"
"(21, 8, 32)"
"(38, 44, 39)"
"(31, 41, 31)"
"(42, 23, 27)"
"(2, 35, 41)"
"(36, 22, 11)"
"(41, 38, 0)"
"(32, 6, 44)"
"(19, 18, 37)"
"(30, 43, 29)"
"(16, 17, 41)"
"(30, 27, 27)"
"(34, 10, 3)"
"(42, 26, 25)"
"(24, 23, 8)"
"(25, 41, 10)"
"(32, 21, 30)"
"(11, 44, 9)"
"(17, 25, 41)"
"(14, 38, 42)"
"(30, 1, 27)"
"(21, 25, 13)"
"(3, 20, 19)"
"(32, 33, 13)"
"(6, 11, 33)"
"(3, 33, 43)"
"(17, 19, 22)"
"(11, 29, 10)"
"(5, 7, 31)"
"(20, 4, 41)"
"(22, 32, 42)"
"(16, 11, 23)"
"(44, 30, 14)"
"(27, 4, 29)"
"(11, 5, 29)"
"(20, 5, 28)"
"(22, 13, 12)"
"(13, 15, 0)"
"(18, 11, 20)"
"(23, 12, 17)"
"(6, 5, 7)"
"(42, 28, 0)"
"(20, 5, 18)"
"(27, 41, 39)"
"(44, 24, 39)"
"(19, 0, 14)"
"(30, 20, 39)"
"(22, 34, 43)"
"(24, 36, 31)"
"(37, 10, 7)"
"(8, 43, 33)"
"(12, 36, 0)"
"(20, 23, 2)"
"(34, 30, 18)"
"(40, 33, 16)"
"(13, 31, 9)"
"(42, 25, 6)"
"(31, 31, 31)"
"(27, 23, 3)"
"(20, 24, 24)"
"(36, 16, 35)"
"(21, 43, 20)"
"(13, 33, 26)"
"(37, 36, 13)"
"(19, 23, 15)"
"(2, 30, 44)"
"(4, 17, 7)"
"(23, 12, 37)"
"(9, 9, 43)"
"(29, 32, 14)"
"(25, 12, 7)"
"(6, 15, 19)"
"(24, 11, 20)"
"(32, 28, 37)"
"(34, 28, 2)"
"(30, 29, 18)"
"(28, 25, 40)"
"(5, 9, 31)"
"(17, 14, 16)"
