"(28, 41, 2, 26, 25)"
"(41, 7, 23, 6, 28)"
"(34, 17, 31, 1, 27)"
"(37, 39, 0, 14, 35)"
"(13, 28, 31, 8, 11)"
"(21, 32, 14, 18, 19)"
"(41, 12, 24, 21, 0)"
"(37, 38, 15, 33, 32)"
"(6, 32, 1, 9, 33)"
"(25, 2, 9, 11, 33)"
"(20, 12, 30, 16, 28)"
"(18, 40, 3, 17, 4)"
"(0, 13, 16, 0, 22)"
"(2, 25, 31, 29, 20)"
"(42, 42, 10, 9, 33)"
"(4, 24, 8, 25, 13)"
"(42, 8, 1, 14, 36)"
"(15, 5, 35, 14, 36)"
"(32, 12, 6, 32, 33)"
"(13, 8, 24, 3, 26)"
"(20, 39, 28, 18, 38)"
"(2, 10, 40, 41, 1)"
"(12, 8, 9, 34, 39)"
"(19, 12, 23, 38, 21)"
"(4, 29, 35, 32, 39)"
"(17, 32, 13, 17, 40)"
"(36, 35, 12, 32, 40)"
"(14, 14, 6, 3, 0)"
"(15, 37, 26, 28, 13)"
"(14, 38, 23, 25, 32)"
"(33, 40, 9, 33, 16)"
"(37, 31, 39, 42, 13)"
"(1, 0, 21, 4, 32)"
"(21, 7, 12, 0, 40)"
"(2, 20, 28, 30, 11)"
"(14, 40, 2, 30, 3)"
"(30, 4, 11, 1, 32)"
"(6, 38, 31, 5, 31)"
"(9, 18, 6, 2, 38)"
"(3, 23, 24, 16, 35)"
"(12, 11, 34, 24, 27)"
"(11, 31, 20, 34, 29)"
"(18, 8, 25, 30, 25)"
"(26, 27, 41, 15, 36)"
"(0, 20, 15, 12, 23)"
"(38, 24, 16, 36, 29)"
"(42, 0, 26, 30, 5)"
"(34, 5, 4, 37, 40)"
"(39, 17, 38, 24, 18)"
"(8, 6, 6, 11, 3)"
"(38, 35, 4, 18, 28)"
"(12, 7, 30, 34, 17)"
"(7, 16, 34, 20, 36)"
"(39, 37, 15, 6, 28)"
"(18, 34, 32, 10, 32)"
"(18, 38, 42, 37, 20)"
"(29, 31, 24, 29, 23)"
"(0, 22, 4, 16, 17)"
"(13, 38, 12, 3, 22)"
"(42, 36, 20, 34, 9)"
"(27, 24, 11, 20, 34)"
"(18, 40, 22, 1, 42)"
"(25, 40, 14, 9, 7)"
"(25, 7, 1, 20, 31)"
"(7, 27, 41, 29, 21)"
"(13, 10, 33, 38, 32)"
"(36, 30, 38, 39, 24)"
"(0, 30, 33, 39, 15)"
"(35, 22, 11, 24, 39)"
"(37, 23, 11, 28, 33)"
"(0, 23, 9, 21, 2)"
"(36, 4, 25, 37, 38)"
"(9, 34, 15, 25, 18)"
"(33, 8, 18, 30, 22)"
"(22, 0, 0, 2, 17)"
"(8, 26, 33, 42, 31)"
"(4, 34, 23, 26, 23)"
"(26, 10, 13, 8, 16)"
"(13, 2, 9, 9, 19)"
"(4, 26, 6, 34, 23)"
"(27, 40, 2, 25, 8)"
"(42, 6, 26, 40, 0)"
"(22, 18, 24, 19, 15)"
"(15, 1, 5, 1, 23)"
"(22, 6, 18, 10, 17)"
"(39, 13, 20, 33, 21)"
"(42, 41, 26, 35, 41)"
"(1, 20, 41, 34, 17)"
"(14, 4, 29, 31, 8)"
"(34, 4, 38, 31, 39)"
"(6, 40, 3, 2, 11)"
"(36, 1, 16, 17, 34)"
"(9, 4, 22, 9, 11)"
"(18, 22, 20, 42, 33)"
"(8, 40, 10, 22, 23)"
"(31, 15, 20, 38, 28)"
"(15, 38, 32, 36, 17)"
"(15, 22, 2, 35, 22)"
"(30, 6, 37, 22, 15)"
"(32, 27, 16, 22, 25)"
