"(26, 9, 2, 4, 29)"
"(15, 4, 26, 6, 29)"
"(8, 34, 33, 13, 3)"
"(28, 30, 22, 22, 25)"
"(7, 24, 11, 26, 28)"
"(5, 33, 9, 6, 16)"
"(27, 15, 25, 16, 12)"
"(32, 6, 20, 19, 16)"
"(30, 33, 25, 13, 7)"
"(6, 4, 34, 2, 21)"
"(4, 12, 35, 15, 15)"
"(29, 4, 4, 14, 23)"
"(23, 18, 27, 5, 19)"
"(3, 1, 18, 10, 32)"
"(11, 30, 3, 26, 30)"
"(15, 32, 25, 30, 0)"
"(28, 7, 34, 5, 5)"
"(14, 4, 13, 32, 12)"
"(7, 25, 12, 12, 34)"
"(0, 25, 3, 11, 6)"
"(24, 21, 9, 6, 24)"
"(11, 15, 7, 33, 12)"
"(30, 8, 4, 20, 10)"
"(18, 24, 35, 11, 27)"
"(33, 21, 23, 3, 6)"
"(25, 18, 2, 3, 2)"
"(11, 19, 11, 17, 6)"
"(28, 7, 32, 11, 7)"
"(3, 28, 33, 34, 32)"
"(18, 13, 29, 3, 9)"
"(15, 0, 19, 15, 22)"
"(2, 31, 5, 35, 25)"
"(1, 30, 24, 32, 3)"
"(33, 0, 27, 21, 9)"
"(19, 29, 1, 27, 33)"
"(29, 25, 2, 5, 31)"
"(14, 1, 24, 13, 9)"
"(30, 12, 1, 22, 3)"
"(5, 15, 2, 24, 21)"
"(28, 15, 2, 4, 29)"
"(2, 30, 25, 31, 1)"
"(16, 34, 24, 13, 4)"
"(31, 18, 31, 0, 28)"
"(17, 31, 8, 19, 23)"
"(8, 27, 33, 21, 30)"
"(7, 12, 23, 19, 11)"
"(33, 35, 17, 11, 14)"
"(11, 2, 6, 12, 20)"
"(29, 12, 16, 34, 8)"
"(33, 27, 23, 6, 34)"
"(29, 12, 33, 10, 27)"
"(12, 0, 19, 15, 11)"
"(22, 31, 30, 30, 28)"
"(4, 0, 0, 34, 2)"
"(22, 14, 14, 16, 9)"
"(27, 4, 32, 30, 35)"
"(15, 20, 3, 28, 7)"
"(17, 30, 12, 21, 3)"
"(18, 17, 22, 8, 31)"
"(20, 32, 20, 29, 6)"
"(15, 5, 12, 6, 17)"
"(5, 7, 27, 13, 1)"
"(19, 18, 34, 27, 25)"
"(34, 21, 33, 4, 23)"
"(17, 19, 6, 4, 29)"
"(23, 35, 35, 0, 33)"
"(18, 10, 18, 18, 26)"
"(24, 7, 3, 4, 27)"
"(3, 28, 30, 14, 2)"
"(30, 35, 29, 4, 15)"
"(15, 26, 12, 31, 8)"
"(21, 4, 18, 19, 12)"
"(30, 27, 16, 10, 4)"
"(34, 35, 22, 2, 20)"
"(9, 28, 19, 24, 4)"
"(25, 17, 26, 24, 31)"
"(21, 35, 9, 17, 5)"
"(11, 2, 26, 32, 30)"
"(3, 26, 30, 31, 9)"
"(11, 25, 27, 7, 0)"
"(35, 3, 34, 21, 24)"
"(9, 7, 27, 4, 34)"
"(9, 6, 16, 6, 8)"
"(25, 18, 24, 20, 1)"
"(21, 15, 22, 27, 8)"
"(21, 30, 2, 18, 15)"
"(9, 33, 20, 35, 29)"
"(7, 30, 6, 13, 17)"
"(17, 16, 23, 35, 16)"
"(9, 34, 8, 6, 9)"
"(25, 0, 32, 34, 21)"
"(20, 8, 31, 29, 31)"
"(34, 24, 24, 9, 20)"
"(16, 3, 19, 21, 10)"
"(4, 23, 9, 35, 19)"
"(11, 16, 18, 23, 9)"
"(22, 24, 0, 21, 32)"
"(9, 4, 31, 25, 0)"
"(11, 18, 24, 14, 31)"
"(11, 24, 34, 11, 22)"
