"(40, 42, 6, 20)"
"(8, 43, 35, 38)"
"(29, 4, 14, 25)"
"(47, 14, 55, 16)"
"(45, 29, 44, 38)"
"(25, 28, 28, 4)"
"(3, 29, 46, 13)"
"(0, 51, 31, 20)"
"(7, 10, 42, 7)"
"(47, 19, 27, 7)"
"(45, 12, 0, 3)"
"(8, 12, 32, 11)"
"(42, 51, 21, 38)"
"(16, 9, 9, 30)"
"(55, 22, 49, 44)"
"(27, 26, 13, 30)"
"(11, 5, 43, 46)"
"(10, 30, 23, 21)"
"(30, 24, 2, 38)"
"(29, 49, 42, 3)"
"(21, 10, 8, 3)"
"(41, 46, 11, 0)"
"(19, 16, 40, 1)"
"(43, 4, 33, 23)"
"(48, 27, 24, 27)"
"(52, 51, 54, 31)"
"(35, 12, 11, 29)"
"(7, 29, 22, 0)"
"(19, 2, 33, 29)"
"(25, 14, 50, 7)"
"(30, 49, 6, 20)"
"(6, 14, 18, 10)"
"(6, 40, 37, 24)"
"(36, 27, 13, 31)"
"(48, 54, 32, 45)"
"(55, 26, 54, 33)"
"(45, 4, 12, 49)"
"(37, 39, 28, 28)"
"(33, 28, 44, 22)"
"(30, 17, 2, 43)"
"(15, 8, 22, 39)"
"(1, 36, 40, 32)"
"(39, 27, 39, 31)"
"(54, 26, 47, 55)"
"(49, 30, 18, 29)"
"(15, 6, 15, 32)"
"(39, 47, 53, 16)"
"(44, 20, 9, 15)"
"(10, 45, 49, 53)"
"(14, 31, 33, 11)"
"(37, 36, 0, 0)"
"(49, 46, 37, 53)"
"(33, 45, 6, 29)"
"(29, 1, 29, 26)"
"(43, 5, 20, 11)"
"(50, 13, 12, 41)"
"(4, 45, 44, 47)"
"(14, 32, 21, 27)"
"(2, 38, 33, 43)"
"(27, 50, 0, 17)"
"(52, 11, 13, 12)"
"(53, 35, 41, 54)"
"(16, 41, 23, 4)"
"(17, 34, 39, 41)"
"(27, 20, 12, 37)"
"(50, 3, 4, 28)"
"(16, 37, 22, 17)"
"(16, 24, 2, 30)"
"(48, 17, 41, 23)"
"(13, 17, 30, 51)"
"(3, 4, 9, 47)"
"(5, 55, 27, 49)"
"(14, 23, 21, 4)"
"(25, 17, 27, 0)"
"(49, 52, 8, 54)"
"(46, 20, 46, 19)"
"(52, 6, 6, 36)"
"(36, 41, 18, 9)"
"(10, 6, 26, 10)"
"(34, 51, 43, 44)"
"(31, 51, 41, 48)"
"(43, 5, 21, 11)"
"(47, 31, 51, 37)"
"(44, 49, 15, 23)"
"(12, 35, 48, 2)"
"(16, 32, 20, 32)"
"(54, 6, 5, 42)"
"(29, 0, 38, 27)"
"(55, 43, 23, 1)"
"(19, 55, 2, 17)"
"(47, 10, 18, 27)"
"(37, 29, 7, 47)"
"(47, 55, 0, 42)"
"(13, 32, 3, 38)"
"(6, 48, 3, 6)"
"(17, 10, 1, 28)"
"(43, 11, 47, 29)"
"(25, 25, 1, 21)"
"(28, 18, 53, 45)"
"(5, 22, 11, 53)"
