"(198, 182)"
"(122, 204)"
"(3, 70)"
"(62, 108)"
"(224, 181)"
"(133, 211)"
"(157, 175)"
"(46, 41)"
"(144, 101)"
"(219, 68)"
"(115, 124)"
"(174, 159)"
"(103, 231)"
"(224, 162)"
"(57, 99)"
"(241, 197)"
"(134, 145)"
"(41, 230)"
"(110, 112)"
"(186, 45)"
"(46, 22)"
"(40, 88)"
"(86, 145)"
"(153, 176)"
"(230, 221)"
"(240, 181)"
"(55, 200)"
"(218, 79)"
"(149, 191)"
"(105, 137)"
"(210, 90)"
"(210, 106)"
"(149, 87)"
"(163, 240)"
"(41, 176)"
"(143, 187)"
"(51, 96)"
"(145, 137)"
"(102, 162)"
"(177, 163)"
"(167, 25)"
"(101, 184)"
"(213, 179)"
"(161, 156)"
"(40, 54)"
"(89, 51)"
"(55, 41)"
"(141, 35)"
"(47, 217)"
"(183, 109)"
"(206, 217)"
"(179, 96)"
"(54, 27)"
"(20, 108)"
"(106, 133)"
"(196, 112)"
"(194, 58)"
"(241, 241)"
"(156, 19)"
"(20, 129)"
"(234, 160)"
"(63, 181)"
"(91, 36)"
"(145, 104)"
"(238, 36)"
"(65, 165)"
"(142, 120)"
"(183, 2)"
"(53, 85)"
"(196, 153)"
"(101, 65)"
"(111, 70)"
"(134, 36)"
"(180, 168)"
"(144, 57)"
"(179, 237)"
"(8, 205)"
"(1, 82)"
"(234, 205)"
"(156, 39)"
"(94, 176)"
"(21, 70)"
"(77, 4)"
"(124, 149)"
"(116, 187)"
"(172, 24)"
"(137, 37)"
"(60, 80)"
"(25, 39)"
"(37, 62)"
"(77, 71)"
"(124, 46)"
"(95, 136)"
"(170, 101)"
"(195, 156)"
"(110, 10)"
"(219, 115)"
"(32, 54)"
"(85, 152)"
"(90, 80)"
