"(5, 23, 15, 13)"
"(2, 43, 24, 31)"
"(26, 39, 2, 24)"
"(29, 33, 21, 24)"
"(32, 4, 17, 34)"
"(12, 34, 43, 2)"
"(25, 3, 15, 4)"
"(42, 37, 19, 29)"
"(34, 35, 1, 30)"
"(15, 12, 37, 35)"
"(0, 32, 36, 39)"
"(24, 0, 11, 41)"
"(21, 26, 41, 4)"
"(12, 37, 16, 30)"
"(30, 29, 32, 17)"
"(2, 2, 17, 44)"
"(26, 17, 37, 42)"
"(26, 22, 22, 39)"
"(38, 6, 9, 34)"
"(19, 17, 31, 38)"
"(19, 31, 28, 4)"
"(41, 40, 43, 29)"
"(21, 41, 8, 5)"
"(35, 47, 30, 26)"
"(46, 29, 14, 44)"
"(11, 28, 19, 38)"
"(25, 4, 38, 23)"
"(6, 38, 30, 3)"
"(21, 7, 40, 11)"
"(20, 30, 26, 36)"
"(41, 17, 0, 6)"
"(43, 8, 2, 30)"
"(38, 43, 1, 4)"
"(16, 37, 43, 24)"
"(34, 36, 13, 43)"
"(3, 8, 32, 26)"
"(44, 39, 24, 41)"
"(17, 17, 18, 22)"
"(40, 37, 40, 4)"
"(40, 25, 13, 16)"
"(4, 42, 7, 37)"
"(34, 9, 45, 35)"
"(28, 12, 20, 19)"
"(14, 9, 23, 14)"
"(0, 40, 10, 42)"
"(24, 34, 32, 29)"
"(24, 43, 6, 8)"
"(8, 24, 31, 44)"
"(16, 28, 14, 3)"
"(10, 27, 38, 5)"
"(15, 44, 5, 29)"
"(24, 23, 10, 30)"
"(8, 37, 9, 28)"
"(16, 19, 32, 46)"
"(8, 33, 34, 15)"
"(31, 10, 29, 44)"
"(3, 1, 45, 42)"
"(4, 4, 35, 31)"
"(1, 39, 13, 32)"
"(45, 40, 12, 28)"
"(25, 46, 30, 1)"
"(47, 22, 45, 3)"
"(29, 9, 40, 34)"
"(6, 46, 8, 22)"
"(8, 15, 5, 17)"
"(27, 10, 1, 7)"
"(0, 38, 42, 25)"
"(13, 36, 39, 41)"
"(38, 36, 27, 4)"
"(13, 43, 34, 13)"
"(28, 21, 15, 10)"
"(23, 10, 27, 16)"
"(1, 32, 5, 38)"
"(16, 43, 30, 23)"
"(1, 22, 38, 35)"
"(17, 38, 47, 17)"
"(1, 17, 1, 43)"
"(0, 36, 38, 6)"
"(10, 1, 7, 33)"
"(46, 36, 29, 29)"
"(10, 22, 11, 25)"
"(31, 16, 36, 21)"
"(45, 27, 18, 45)"
"(46, 46, 37, 36)"
"(43, 26, 6, 41)"
"(39, 45, 22, 9)"
"(26, 22, 32, 31)"
"(25, 4, 7, 38)"
"(40, 36, 31, 32)"
"(8, 36, 25, 45)"
"(37, 9, 44, 15)"
"(24, 14, 36, 29)"
"(39, 15, 12, 4)"
"(26, 38, 46, 44)"
"(43, 28, 21, 37)"
"(27, 5, 16, 22)"
"(10, 33, 22, 44)"
"(21, 30, 20, 1)"
"(26, 28, 24, 13)"
"(7, 40, 9, 45)"
