"(51, 3, 60)"
"(63, 54, 16)"
"(2, 62, 47)"
"(83, 59, 12)"
"(48, 42, 60)"
"(49, 56, 74)"
"(85, 19, 55)"
"(53, 68, 28)"
"(26, 45, 6)"
"(23, 2, 22)"
"(60, 16, 78)"
"(8, 73, 72)"
"(16, 38, 60)"
"(48, 33, 59)"
"(3, 18, 80)"
"(44, 52, 74)"
"(7, 46, 11)"
"(68, 67, 72)"
"(22, 32, 30)"
"(62, 78, 14)"
"(3, 59, 9)"
"(23, 75, 72)"
"(26, 86, 16)"
"(65, 47, 3)"
"(49, 32, 24)"
"(79, 49, 70)"
"(21, 16, 83)"
"(12, 6, 13)"
"(72, 49, 13)"
"(27, 72, 20)"
"(24, 9, 44)"
"(0, 57, 37)"
"(9, 59, 18)"
"(11, 56, 58)"
"(17, 33, 51)"
"(62, 78, 73)"
"(41, 52, 51)"
"(62, 0, 54)"
"(49, 85, 57)"
"(59, 37, 80)"
"(77, 4, 79)"
"(35, 67, 43)"
"(6, 29, 86)"
"(73, 59, 42)"
"(19, 40, 70)"
"(11, 17, 63)"
"(44, 48, 12)"
"(54, 80, 28)"
"(26, 20, 72)"
"(25, 21, 52)"
"(65, 68, 21)"
"(48, 43, 28)"
"(74, 9, 27)"
"(61, 81, 12)"
"(60, 49, 3)"
"(70, 7, 25)"
"(26, 70, 6)"
"(57, 17, 46)"
"(56, 2, 22)"
"(70, 81, 51)"
"(63, 67, 50)"
"(21, 51, 83)"
"(77, 29, 34)"
"(63, 6, 57)"
"(52, 42, 28)"
"(52, 69, 25)"
"(4, 21, 52)"
"(83, 14, 76)"
"(43, 29, 29)"
"(58, 83, 23)"
"(14, 61, 37)"
"(15, 22, 9)"
"(60, 11, 71)"
"(28, 42, 83)"
"(79, 52, 9)"
"(33, 86, 23)"
"(83, 6, 48)"
"(38, 78, 2)"
"(27, 2, 61)"
"(66, 17, 17)"
"(84, 73, 40)"
"(2, 85, 49)"
"(78, 9, 26)"
"(13, 5, 53)"
"(9, 81, 72)"
"(26, 7, 62)"
"(82, 67, 16)"
"(44, 53, 49)"
"(49, 67, 76)"
"(38, 16, 26)"
"(86, 33, 75)"
"(85, 18, 44)"
"(38, 80, 41)"
"(22, 1, 41)"
"(25, 55, 10)"
"(41, 26, 8)"
"(50, 8, 36)"
"(17, 4, 70)"
"(54, 43, 71)"
"(10, 26, 43)"
