"(41, 134)"
"(99, 149)"
"(174, 106)"
"(51, 124)"
"(28, 44)"
"(124, 4)"
"(0, 125)"
"(74, 170)"
"(60, 31)"
"(148, 131)"
"(162, 20)"
"(77, 25)"
"(122, 72)"
"(128, 80)"
"(49, 70)"
"(68, 115)"
"(82, 125)"
"(140, 128)"
"(103, 152)"
"(77, 37)"
"(33, 138)"
"(47, 145)"
"(64, 100)"
"(174, 38)"
"(129, 96)"
"(18, 92)"
"(2, 44)"
"(15, 85)"
"(166, 160)"
"(147, 131)"
"(110, 125)"
"(119, 76)"
"(72, 24)"
"(59, 64)"
"(9, 51)"
"(51, 95)"
"(141, 152)"
"(47, 81)"
"(149, 156)"
"(50, 22)"
"(95, 164)"
"(166, 112)"
"(75, 54)"
"(1, 25)"
"(7, 112)"
"(19, 99)"
"(34, 25)"
"(139, 105)"
"(117, 73)"
"(45, 89)"
"(142, 93)"
"(172, 148)"
"(141, 33)"
"(12, 168)"
"(77, 164)"
"(113, 71)"
"(132, 22)"
"(169, 13)"
"(142, 27)"
"(53, 102)"
"(78, 145)"
"(73, 25)"
"(112, 91)"
"(50, 112)"
"(99, 47)"
"(103, 95)"
"(148, 18)"
"(127, 6)"
"(2, 72)"
"(5, 56)"
"(92, 148)"
"(10, 78)"
"(143, 81)"
"(76, 129)"
"(145, 69)"
"(71, 43)"
"(157, 14)"
"(157, 22)"
"(88, 58)"
"(25, 18)"
"(20, 135)"
"(119, 91)"
"(158, 24)"
"(100, 84)"
"(68, 44)"
"(52, 55)"
"(98, 163)"
"(26, 164)"
"(107, 15)"
"(61, 139)"
"(110, 48)"
"(170, 56)"
"(174, 138)"
"(30, 48)"
"(3, 103)"
"(105, 123)"
"(10, 27)"
"(111, 12)"
"(3, 149)"
"(86, 163)"
