"(5, 73)"
"(83, 54)"
"(33, 144)"
"(20, 19)"
"(3, 161)"
"(14, 14)"
"(98, 164)"
"(168, 7)"
"(105, 153)"
"(131, 105)"
"(75, 31)"
"(157, 77)"
"(163, 159)"
"(106, 36)"
"(32, 167)"
"(153, 28)"
"(34, 126)"
"(0, 36)"
"(126, 122)"
"(56, 46)"
"(59, 88)"
"(115, 92)"
"(30, 11)"
"(37, 65)"
"(25, 111)"
"(44, 41)"
"(107, 73)"
"(141, 144)"
"(98, 132)"
"(127, 40)"
"(28, 87)"
"(138, 93)"
"(35, 17)"
"(17, 74)"
"(122, 44)"
"(31, 47)"
"(147, 140)"
"(79, 53)"
"(159, 49)"
"(138, 96)"
"(121, 73)"
"(59, 81)"
"(35, 84)"
"(83, 120)"
"(17, 28)"
"(108, 162)"
"(45, 78)"
"(3, 50)"
"(114, 122)"
"(34, 5)"
"(23, 7)"
"(93, 112)"
"(65, 33)"
"(62, 161)"
"(163, 49)"
"(99, 10)"
"(25, 58)"
"(24, 132)"
"(77, 137)"
"(159, 77)"
"(2, 135)"
"(36, 26)"
"(33, 14)"
"(119, 65)"
"(106, 12)"
"(72, 11)"
"(71, 142)"
"(20, 52)"
"(159, 25)"
"(136, 166)"
"(54, 60)"
"(31, 165)"
"(51, 142)"
"(143, 108)"
"(31, 147)"
"(125, 155)"
"(125, 127)"
"(71, 34)"
"(79, 152)"
"(62, 73)"
"(131, 65)"
"(79, 78)"
"(138, 70)"
"(95, 29)"
"(71, 76)"
"(153, 165)"
"(21, 53)"
"(72, 38)"
"(152, 5)"
"(10, 86)"
"(166, 48)"
"(142, 154)"
"(151, 151)"
"(91, 109)"
"(165, 12)"
"(41, 24)"
"(140, 68)"
"(162, 129)"
"(44, 143)"
"(146, 158)"
