"(59, 43)"
"(108, 26)"
"(85, 77)"
"(15, 73)"
"(52, 35)"
"(0, 33)"
"(50, 19)"
"(89, 80)"
"(70, 54)"
"(110, 49)"
"(60, 27)"
"(78, 90)"
"(22, 105)"
"(37, 37)"
"(90, 84)"
"(55, 58)"
"(12, 94)"
"(80, 93)"
"(99, 95)"
"(72, 73)"
"(3, 17)"
"(11, 84)"
"(22, 106)"
"(110, 17)"
"(49, 11)"
"(48, 81)"
"(96, 35)"
"(88, 81)"
"(32, 79)"
"(82, 41)"
"(99, 65)"
"(25, 41)"
"(9, 74)"
"(73, 74)"
"(65, 96)"
"(99, 73)"
"(60, 78)"
"(103, 7)"
"(41, 107)"
"(106, 79)"
"(61, 1)"
"(94, 92)"
"(92, 75)"
"(23, 53)"
"(62, 79)"
"(9, 25)"
"(90, 100)"
"(15, 7)"
"(79, 104)"
"(21, 16)"
"(16, 73)"
"(80, 26)"
"(75, 61)"
"(50, 69)"
"(31, 43)"
"(45, 92)"
"(34, 15)"
"(39, 35)"
"(2, 84)"
"(12, 66)"
"(103, 27)"
"(25, 35)"
"(96, 62)"
"(92, 10)"
"(89, 103)"
"(27, 4)"
"(46, 28)"
"(97, 100)"
"(42, 31)"
"(93, 85)"
"(9, 86)"
"(46, 76)"
"(58, 3)"
"(61, 23)"
"(2, 1)"
"(48, 100)"
"(87, 40)"
"(104, 46)"
"(63, 75)"
"(14, 97)"
"(22, 103)"
"(52, 66)"
"(9, 100)"
"(78, 83)"
"(71, 73)"
"(107, 81)"
"(108, 5)"
"(48, 14)"
"(31, 44)"
"(33, 65)"
"(49, 13)"
"(101, 69)"
"(76, 57)"
"(97, 66)"
"(78, 69)"
"(103, 79)"
"(8, 29)"
"(75, 97)"
"(28, 15)"
"(55, 48)"
