"(12, 22)"
"(34, 23)"
"(38, 8)"
"(39, 10)"
"(13, 25)"
"(23, 34)"
"(17, 37)"
"(4, 17)"
"(26, 14)"
"(14, 12)"
"(34, 25)"
"(25, 16)"
"(8, 4)"
"(21, 39)"
"(4, 5)"
"(24, 40)"
"(9, 6)"
"(27, 10)"
"(33, 23)"
"(22, 16)"
"(33, 31)"
"(26, 28)"
"(2, 12)"
"(7, 24)"
"(11, 14)"
"(3, 24)"
"(14, 17)"
"(14, 18)"
"(38, 0)"
"(6, 20)"
"(27, 22)"
"(37, 32)"
"(42, 18)"
"(31, 41)"
"(35, 38)"
"(18, 12)"
"(5, 39)"
"(26, 37)"
"(15, 42)"
"(22, 6)"
"(27, 30)"
"(10, 39)"
"(31, 22)"
"(2, 41)"
"(27, 29)"
"(32, 5)"
"(42, 8)"
"(22, 8)"
"(20, 20)"
"(42, 21)"
"(32, 11)"
"(39, 11)"
"(14, 21)"
"(17, 28)"
"(0, 7)"
"(28, 33)"
"(20, 34)"
"(19, 33)"
"(10, 4)"
"(7, 12)"
"(20, 11)"
"(38, 16)"
"(0, 37)"
"(26, 17)"
"(40, 41)"
"(11, 1)"
"(34, 7)"
"(7, 29)"
"(41, 21)"
"(40, 20)"
"(1, 36)"
"(19, 3)"
"(7, 41)"
"(8, 6)"
"(8, 40)"
"(16, 35)"
"(10, 10)"
"(6, 27)"
"(7, 11)"
"(19, 20)"
"(3, 29)"
"(24, 3)"
"(18, 10)"
"(33, 13)"
"(21, 4)"
"(10, 30)"
"(28, 17)"
"(6, 41)"
"(31, 8)"
"(34, 36)"
"(6, 20)"
"(26, 34)"
"(24, 36)"
"(11, 41)"
"(40, 35)"
"(36, 11)"
"(7, 8)"
"(19, 22)"
"(27, 13)"
"(4, 8)"
