"(58, 41)"
"(41, 33)"
"(3, 1)"
"(44, 55)"
"(22, 58)"
"(26, 9)"
"(22, 40)"
"(78, 62)"
"(41, 19)"
"(8, 52)"
"(40, 35)"
"(66, 60)"
"(57, 45)"
"(43, 55)"
"(7, 53)"
"(31, 14)"
"(6, 18)"
"(63, 0)"
"(64, 72)"
"(48, 77)"
"(49, 39)"
"(57, 52)"
"(38, 5)"
"(76, 30)"
"(70, 29)"
"(54, 53)"
"(46, 60)"
"(28, 12)"
"(59, 48)"
"(20, 20)"
"(16, 52)"
"(74, 60)"
"(74, 27)"
"(29, 38)"
"(7, 34)"
"(29, 55)"
"(64, 78)"
"(48, 73)"
"(21, 79)"
"(36, 66)"
"(78, 7)"
"(61, 46)"
"(1, 49)"
"(16, 18)"
"(70, 34)"
"(59, 44)"
"(54, 7)"
"(41, 66)"
"(12, 72)"
"(61, 36)"
"(75, 75)"
"(76, 60)"
"(62, 0)"
"(45, 2)"
"(4, 33)"
"(77, 78)"
"(0, 34)"
"(41, 74)"
"(43, 75)"
"(44, 34)"
"(3, 73)"
"(22, 17)"
"(76, 67)"
"(40, 52)"
"(52, 60)"
"(46, 22)"
"(63, 50)"
"(55, 34)"
"(74, 13)"
"(47, 10)"
"(71, 80)"
"(69, 52)"
"(22, 39)"
"(78, 63)"
"(63, 57)"
"(71, 7)"
"(34, 27)"
"(43, 29)"
"(25, 14)"
"(11, 33)"
"(50, 56)"
"(57, 55)"
"(76, 70)"
"(17, 80)"
"(56, 67)"
"(24, 4)"
"(39, 60)"
"(14, 15)"
"(2, 66)"
"(19, 21)"
"(45, 51)"
"(27, 17)"
"(27, 0)"
"(25, 13)"
"(75, 21)"
"(22, 51)"
"(11, 0)"
"(60, 68)"
"(53, 41)"
"(31, 57)"
