"(61, 76)"
"(113, 71)"
"(118, 127)"
"(122, 129)"
"(89, 96)"
"(95, 22)"
"(9, 41)"
"(29, 91)"
"(37, 121)"
"(122, 11)"
"(6, 56)"
"(12, 35)"
"(70, 88)"
"(59, 105)"
"(33, 75)"
"(16, 6)"
"(0, 51)"
"(53, 40)"
"(24, 116)"
"(4, 120)"
"(94, 20)"
"(81, 121)"
"(32, 49)"
"(29, 111)"
"(119, 6)"
"(47, 40)"
"(26, 113)"
"(78, 10)"
"(51, 107)"
"(68, 101)"
"(131, 116)"
"(96, 42)"
"(47, 107)"
"(127, 17)"
"(46, 27)"
"(20, 81)"
"(130, 97)"
"(102, 115)"
"(23, 85)"
"(44, 103)"
"(6, 53)"
"(58, 78)"
"(56, 1)"
"(126, 63)"
"(109, 127)"
"(57, 48)"
"(117, 34)"
"(66, 52)"
"(103, 131)"
"(67, 107)"
"(0, 90)"
"(66, 70)"
"(110, 74)"
"(105, 43)"
"(113, 119)"
"(29, 12)"
"(93, 84)"
"(94, 24)"
"(5, 116)"
"(45, 42)"
"(122, 130)"
"(28, 61)"
"(29, 127)"
"(15, 16)"
"(111, 72)"
"(60, 67)"
"(13, 58)"
"(132, 31)"
"(42, 120)"
"(85, 71)"
"(59, 109)"
"(55, 96)"
"(38, 90)"
"(13, 52)"
"(86, 6)"
"(84, 30)"
"(85, 113)"
"(128, 110)"
"(81, 80)"
"(117, 91)"
"(8, 47)"
"(31, 1)"
"(94, 16)"
"(96, 19)"
"(67, 77)"
"(45, 46)"
"(110, 112)"
"(86, 109)"
"(67, 45)"
"(72, 88)"
"(110, 52)"
"(87, 38)"
"(18, 126)"
"(131, 46)"
"(111, 19)"
"(129, 67)"
"(8, 17)"
"(59, 82)"
"(36, 97)"
"(29, 81)"
