"(33, 12, 30)"
"(4, 22, 0)"
"(21, 8, 29)"
"(7, 10, 2)"
"(26, 15, 5)"
"(6, 6, 29)"
"(5, 24, 9)"
"(5, 32, 11)"
"(34, 29, 29)"
"(10, 13, 4)"
"(20, 19, 30)"
"(28, 2, 30)"
"(9, 10, 27)"
"(34, 23, 17)"
"(31, 6, 18)"
"(21, 5, 20)"
"(28, 32, 31)"
"(22, 13, 0)"
"(12, 33, 34)"
"(31, 8, 22)"
"(9, 24, 19)"
"(26, 35, 33)"
"(26, 28, 32)"
"(10, 5, 32)"
"(29, 26, 24)"
"(21, 16, 22)"
"(32, 3, 0)"
"(27, 5, 21)"
"(0, 11, 11)"
"(3, 16, 8)"
"(18, 7, 27)"
"(26, 6, 5)"
"(34, 35, 27)"
"(17, 9, 2)"
"(12, 25, 3)"
"(30, 27, 0)"
"(10, 32, 9)"
"(28, 12, 28)"
"(21, 2, 27)"
"(5, 7, 28)"
"(29, 19, 28)"
"(2, 7, 16)"
"(26, 26, 8)"
"(30, 2, 22)"
"(19, 33, 8)"
"(28, 11, 3)"
"(23, 30, 35)"
"(29, 8, 18)"
"(6, 20, 24)"
"(20, 9, 12)"
"(3, 28, 5)"
"(10, 12, 3)"
"(6, 30, 15)"
"(22, 2, 6)"
"(22, 22, 25)"
"(22, 35, 17)"
"(23, 13, 16)"
"(19, 11, 12)"
"(9, 20, 32)"
"(10, 2, 0)"
"(16, 1, 27)"
"(2, 25, 24)"
"(32, 18, 6)"
"(13, 26, 29)"
"(9, 10, 8)"
"(27, 13, 20)"
"(15, 13, 19)"
"(11, 3, 19)"
"(21, 29, 4)"
"(1, 27, 7)"
"(12, 20, 21)"
"(23, 2, 31)"
"(7, 6, 29)"
"(28, 31, 7)"
"(22, 20, 1)"
"(5, 25, 10)"
"(26, 3, 19)"
"(3, 3, 32)"
"(26, 25, 16)"
"(6, 33, 13)"
"(35, 24, 11)"
"(4, 16, 35)"
"(24, 15, 21)"
"(25, 10, 6)"
"(29, 26, 25)"
"(14, 17, 25)"
"(26, 8, 8)"
"(3, 24, 26)"
"(29, 25, 7)"
"(19, 22, 19)"
"(19, 2, 6)"
"(7, 14, 8)"
"(18, 21, 9)"
"(11, 33, 6)"
"(10, 4, 0)"
"(3, 11, 16)"
"(25, 29, 33)"
"(21, 30, 30)"
"(26, 26, 7)"
"(7, 34, 10)"
