"(18, 11, 4, 17)"
"(10, 19, 26, 16)"
"(14, 27, 11, 22)"
"(4, 7, 9, 25)"
"(9, 15, 9, 17)"
"(21, 23, 12, 27)"
"(13, 5, 20, 3)"
"(19, 8, 22, 21)"
"(16, 20, 9, 27)"
"(12, 18, 13, 14)"
"(5, 14, 16, 10)"
"(11, 20, 13, 15)"
"(7, 8, 23, 20)"
"(2, 10, 14, 11)"
"(24, 15, 27, 26)"
"(1, 10, 12, 18)"
"(14, 9, 21, 7)"
"(17, 15, 26, 25)"
"(25, 24, 18, 25)"
"(10, 20, 4, 24)"
"(2, 26, 14, 13)"
"(22, 0, 4, 17)"
"(5, 21, 27, 0)"
"(16, 14, 10, 9)"
"(5, 18, 3, 2)"
"(0, 12, 23, 15)"
"(23, 1, 1, 5)"
"(21, 20, 19, 15)"
"(13, 14, 27, 12)"
"(14, 4, 1, 11)"
"(1, 24, 10, 1)"
"(19, 2, 7, 1)"
"(23, 0, 10, 1)"
"(19, 26, 6, 9)"
"(9, 9, 27, 13)"
"(19, 20, 8, 8)"
"(6, 20, 0, 5)"
"(8, 8, 24, 26)"
"(5, 9, 8, 18)"
"(10, 1, 0, 27)"
"(22, 14, 9, 4)"
"(3, 9, 20, 5)"
"(10, 6, 14, 10)"
"(20, 7, 18, 26)"
"(12, 1, 14, 26)"
"(15, 3, 6, 20)"
"(7, 7, 13, 7)"
"(25, 24, 12, 14)"
"(15, 27, 26, 15)"
"(15, 26, 24, 20)"
"(21, 20, 0, 17)"
"(0, 8, 8, 3)"
"(2, 22, 2, 2)"
"(8, 9, 6, 23)"
"(7, 24, 7, 1)"
"(8, 14, 21, 17)"
"(7, 13, 16, 26)"
"(16, 20, 2, 27)"
"(17, 3, 1, 9)"
"(19, 10, 8, 14)"
"(23, 17, 5, 25)"
"(13, 11, 5, 0)"
"(10, 26, 9, 15)"
"(13, 27, 24, 27)"
"(22, 7, 26, 13)"
"(6, 12, 18, 0)"
"(15, 13, 1, 8)"
"(10, 25, 19, 20)"
"(26, 26, 0, 24)"
"(27, 13, 17, 19)"
"(8, 15, 12, 23)"
"(15, 19, 13, 18)"
"(25, 0, 11, 10)"
"(9, 0, 24, 19)"
"(17, 22, 15, 27)"
"(19, 8, 20, 9)"
"(22, 18, 27, 11)"
"(13, 6, 25, 25)"
"(1, 25, 23, 8)"
"(21, 20, 8, 9)"
"(4, 9, 23, 25)"
"(11, 0, 7, 13)"
"(7, 12, 20, 7)"
"(25, 20, 22, 7)"
"(27, 25, 10, 24)"
"(24, 26, 8, 27)"
"(24, 17, 17, 3)"
"(16, 4, 0, 21)"
"(23, 5, 24, 5)"
"(3, 26, 11, 18)"
"(5, 15, 9, 8)"
"(5, 5, 1, 14)"
"(19, 9, 24, 5)"
"(25, 22, 8, 17)"
"(17, 20, 26, 13)"
"(7, 13, 12, 16)"
"(9, 16, 18, 8)"
"(26, 13, 13, 2)"
"(16, 16, 19, 15)"
"(14, 7, 4, 12)"
