"(10, 24, 2, 1)"
"(2, 26, 8, 13)"
"(19, 21, 26, 26)"
"(28, 8, 20, 3)"
"(3, 1, 25, 0)"
"(6, 18, 9, 23)"
"(21, 21, 12, 15)"
"(5, 18, 10, 18)"
"(22, 3, 5, 0)"
"(28, 26, 17, 14)"
"(8, 18, 22, 9)"
"(8, 23, 21, 14)"
"(2, 0, 12, 16)"
"(11, 14, 10, 22)"
"(22, 13, 26, 28)"
"(18, 14, 28, 5)"
"(6, 4, 16, 6)"
"(9, 23, 6, 23)"
"(2, 19, 2, 28)"
"(4, 14, 13, 16)"
"(4, 2, 0, 10)"
"(15, 9, 25, 28)"
"(16, 20, 23, 4)"
"(19, 7, 14, 27)"
"(7, 26, 19, 3)"
"(14, 27, 14, 5)"
"(11, 15, 14, 8)"
"(12, 12, 1, 27)"
"(25, 13, 21, 8)"
"(1, 19, 7, 15)"
"(16, 14, 16, 1)"
"(22, 7, 27, 9)"
"(13, 1, 3, 20)"
"(21, 19, 0, 26)"
"(14, 10, 22, 24)"
"(25, 3, 19, 1)"
"(16, 28, 22, 19)"
"(23, 17, 0, 6)"
"(28, 8, 20, 26)"
"(7, 2, 14, 0)"
"(6, 28, 21, 10)"
"(21, 6, 23, 11)"
"(24, 1, 9, 2)"
"(20, 18, 17, 14)"
"(0, 13, 1, 17)"
"(18, 6, 3, 26)"
"(20, 16, 13, 16)"
"(1, 15, 1, 1)"
"(22, 24, 21, 13)"
"(17, 28, 24, 5)"
"(12, 10, 10, 5)"
"(7, 18, 5, 15)"
"(18, 16, 4, 25)"
"(25, 7, 18, 6)"
"(12, 1, 23, 16)"
"(2, 23, 14, 18)"
"(2, 28, 3, 14)"
"(4, 16, 12, 22)"
"(2, 27, 19, 7)"
"(11, 13, 8, 9)"
"(27, 23, 24, 8)"
"(18, 26, 22, 11)"
"(3, 27, 18, 28)"
"(26, 21, 27, 19)"
"(17, 20, 19, 22)"
"(28, 4, 23, 28)"
"(16, 24, 12, 0)"
"(3, 3, 2, 28)"
"(2, 5, 22, 20)"
"(25, 11, 19, 7)"
"(7, 6, 15, 19)"
"(24, 23, 28, 6)"
"(18, 21, 8, 12)"
"(19, 25, 18, 2)"
"(23, 19, 18, 18)"
"(12, 28, 15, 23)"
"(16, 6, 18, 8)"
"(27, 20, 14, 23)"
"(13, 11, 1, 4)"
"(27, 25, 26, 1)"
"(19, 10, 17, 10)"
"(3, 26, 16, 10)"
"(4, 17, 28, 15)"
"(7, 15, 20, 16)"
"(20, 25, 12, 2)"
"(17, 19, 14, 16)"
"(25, 25, 24, 5)"
"(11, 24, 16, 16)"
"(22, 9, 25, 6)"
"(1, 19, 12, 10)"
"(28, 3, 16, 4)"
"(12, 25, 26, 11)"
"(25, 0, 4, 21)"
"(7, 18, 23, 4)"
"(8, 0, 9, 25)"
"(27, 28, 22, 11)"
"(2, 11, 5, 2)"
"(11, 2, 4, 22)"
"(15, 17, 15, 7)"
"(9, 7, 12, 7)"
