"(30, 19, 37, 13)"
"(44, 9, 26, 21)"
"(35, 36, 2, 39)"
"(23, 37, 42, 31)"
"(28, 3, 14, 15)"
"(34, 44, 12, 47)"
"(14, 11, 45, 41)"
"(33, 46, 28, 5)"
"(2, 46, 17, 39)"
"(37, 8, 33, 14)"
"(23, 4, 45, 33)"
"(45, 36, 17, 5)"
"(38, 20, 40, 23)"
"(0, 17, 41, 19)"
"(18, 2, 40, 7)"
"(4, 4, 36, 46)"
"(9, 11, 35, 41)"
"(40, 1, 8, 15)"
"(34, 37, 27, 29)"
"(39, 47, 5, 34)"
"(14, 10, 47, 34)"
"(19, 5, 7, 7)"
"(20, 42, 15, 22)"
"(31, 23, 33, 1)"
"(2, 3, 24, 10)"
"(41, 40, 20, 2)"
"(22, 20, 11, 29)"
"(43, 5, 3, 21)"
"(32, 39, 25, 6)"
"(39, 35, 0, 4)"
"(14, 28, 43, 4)"
"(18, 28, 10, 42)"
"(32, 37, 2, 9)"
"(31, 41, 4, 34)"
"(10, 31, 15, 12)"
"(9, 40, 47, 5)"
"(12, 31, 39, 19)"
"(9, 7, 37, 29)"
"(22, 26, 21, 21)"
"(39, 27, 10, 16)"
"(3, 17, 17, 24)"
"(18, 14, 21, 18)"
"(9, 24, 10, 13)"
"(14, 17, 38, 2)"
"(2, 36, 39, 46)"
"(2, 36, 37, 30)"
"(18, 42, 46, 19)"
"(36, 26, 0, 18)"
"(6, 24, 19, 44)"
"(3, 6, 45, 16)"
"(17, 39, 46, 39)"
"(40, 21, 43, 18)"
"(22, 45, 30, 40)"
"(16, 26, 30, 39)"
"(1, 44, 19, 3)"
"(9, 40, 6, 3)"
"(21, 20, 38, 42)"
"(36, 40, 30, 39)"
"(1, 12, 32, 0)"
"(40, 30, 45, 43)"
"(34, 28, 19, 19)"
"(20, 1, 19, 23)"
"(37, 14, 2, 29)"
"(15, 43, 13, 29)"
"(29, 41, 10, 39)"
"(19, 11, 17, 26)"
"(46, 18, 26, 36)"
"(28, 30, 17, 11)"
"(11, 31, 14, 8)"
"(17, 15, 23, 46)"
"(43, 16, 2, 38)"
"(45, 31, 23, 5)"
"(43, 25, 45, 27)"
"(17, 44, 6, 3)"
"(33, 4, 33, 35)"
"(10, 8, 43, 26)"
"(12, 7, 0, 47)"
"(25, 6, 14, 28)"
"(4, 36, 26, 28)"
"(25, 16, 26, 39)"
"(24, 24, 19, 12)"
"(17, 42, 3, 3)"
"(1, 6, 23, 12)"
"(45, 28, 46, 40)"
"(0, 13, 25, 7)"
"(18, 34, 45, 18)"
"(25, 38, 6, 47)"
"(25, 44, 25, 40)"
"(43, 3, 22, 9)"
"(36, 30, 13, 5)"
"(37, 28, 42, 10)"
"(45, 19, 41, 3)"
"(7, 13, 27, 43)"
"(16, 44, 13, 36)"
"(22, 43, 42, 16)"
"(44, 3, 41, 46)"
"(35, 29, 27, 22)"
"(7, 26, 18, 21)"
"(0, 20, 6, 33)"
"(47, 41, 45, 11)"
