"(17, 11, 1)"
"(1, 29, 2)"
"(26, 19, 1)"
"(25, 1, 12)"
"(1, 0, 5)"
"(2, 18, 27)"
"(16, 14, 13)"
"(3, 0, 16)"
"(4, 26, 2)"
"(5, 17, 14)"
"(6, 11, 15)"
"(26, 0, 26)"
"(25, 28, 4)"
"(3, 20, 12)"
"(28, 16, 15)"
"(6, 6, 18)"
"(13, 10, 11)"
"(3, 13, 11)"
"(22, 3, 14)"
"(22, 12, 27)"
"(16, 1, 14)"
"(13, 5, 5)"
"(10, 16, 26)"
"(3, 27, 2)"
"(19, 3, 26)"
"(16, 6, 13)"
"(0, 3, 22)"
"(12, 29, 18)"
"(6, 18, 29)"
"(7, 27, 19)"
"(0, 7, 22)"
"(20, 24, 23)"
"(26, 14, 23)"
"(13, 4, 22)"
"(4, 15, 18)"
"(20, 0, 14)"
"(23, 28, 21)"
"(22, 25, 20)"
"(5, 8, 18)"
"(29, 26, 26)"
"(29, 20, 24)"
"(0, 20, 29)"
"(9, 16, 0)"
"(3, 29, 4)"
"(6, 11, 26)"
"(10, 9, 7)"
"(28, 11, 16)"
"(7, 1, 14)"
"(24, 23, 0)"
"(16, 0, 6)"
"(29, 9, 21)"
"(24, 8, 29)"
"(26, 28, 23)"
"(3, 3, 5)"
"(20, 28, 26)"
"(27, 25, 19)"
"(1, 13, 28)"
"(14, 16, 11)"
"(2, 18, 12)"
"(25, 2, 19)"
"(25, 5, 21)"
"(28, 18, 2)"
"(28, 11, 28)"
"(24, 2, 16)"
"(5, 7, 1)"
"(0, 27, 5)"
"(18, 15, 3)"
"(16, 22, 14)"
"(16, 8, 10)"
"(21, 5, 26)"
"(26, 2, 25)"
"(27, 20, 20)"
"(7, 9, 15)"
"(2, 9, 20)"
"(28, 5, 10)"
"(27, 16, 20)"
"(10, 16, 11)"
"(25, 11, 13)"
"(13, 11, 26)"
"(25, 14, 21)"
"(4, 28, 11)"
"(12, 12, 24)"
"(4, 10, 8)"
"(10, 23, 21)"
"(8, 4, 7)"
"(3, 9, 25)"
"(8, 17, 19)"
"(11, 10, 17)"
"(24, 28, 4)"
"(5, 3, 18)"
"(10, 23, 24)"
"(14, 13, 19)"
"(15, 18, 11)"
"(26, 28, 0)"
"(14, 19, 22)"
"(3, 23, 18)"
"(29, 29, 27)"
"(11, 25, 2)"
"(27, 22, 29)"
"(29, 3, 15)"
