"(2, 28, 3)"
"(80, 65, 5)"
"(0, 4, 88)"
"(29, 52, 52)"
"(11, 87, 18)"
"(40, 56, 9)"
"(84, 56, 3)"
"(93, 32, 66)"
"(19, 27, 37)"
"(16, 63, 97)"
"(7, 58, 47)"
"(71, 20, 30)"
"(95, 89, 4)"
"(79, 42, 35)"
"(37, 56, 12)"
"(57, 9, 15)"
"(39, 82, 44)"
"(83, 48, 95)"
"(13, 95, 64)"
"(60, 56, 96)"
"(81, 77, 26)"
"(38, 42, 9)"
"(84, 58, 14)"
"(23, 90, 15)"
"(64, 24, 59)"
"(67, 75, 73)"
"(91, 47, 58)"
"(0, 8, 37)"
"(62, 15, 58)"
"(92, 85, 17)"
"(70, 35, 90)"
"(65, 93, 61)"
"(91, 66, 53)"
"(86, 26, 0)"
"(71, 34, 9)"
"(17, 24, 58)"
"(4, 0, 74)"
"(18, 71, 45)"
"(61, 42, 11)"
"(8, 39, 1)"
"(39, 97, 46)"
"(14, 79, 76)"
"(89, 55, 14)"
"(74, 24, 76)"
"(68, 44, 33)"
"(10, 23, 37)"
"(80, 21, 23)"
"(90, 39, 62)"
"(17, 19, 23)"
"(33, 46, 4)"
"(97, 93, 5)"
"(93, 32, 41)"
"(96, 72, 42)"
"(16, 90, 84)"
"(54, 50, 88)"
"(17, 76, 35)"
"(59, 17, 33)"
"(96, 47, 49)"
"(79, 76, 76)"
"(84, 63, 46)"
"(50, 53, 21)"
"(95, 45, 53)"
"(76, 78, 44)"
"(24, 53, 23)"
"(52, 1, 69)"
"(91, 20, 51)"
"(30, 4, 5)"
"(54, 51, 53)"
"(28, 40, 69)"
"(8, 17, 31)"
"(46, 0, 21)"
"(86, 41, 35)"
"(93, 72, 92)"
"(78, 62, 9)"
"(71, 82, 39)"
"(2, 60, 34)"
"(56, 91, 93)"
"(85, 60, 4)"
"(55, 16, 13)"
"(66, 59, 74)"
"(7, 64, 50)"
"(93, 23, 29)"
"(34, 41, 10)"
"(3, 34, 11)"
"(13, 61, 31)"
"(48, 30, 39)"
"(2, 3, 21)"
"(19, 82, 24)"
"(19, 33, 24)"
"(47, 12, 62)"
"(93, 40, 67)"
"(87, 0, 13)"
"(97, 89, 31)"
"(62, 6, 31)"
"(55, 34, 58)"
"(87, 2, 67)"
"(56, 84, 68)"
"(95, 1, 72)"
"(85, 47, 32)"
"(80, 48, 49)"
