"(44, 14, 15)"
"(36, 15, 21)"
"(11, 6, 47)"
"(29, 41, 34)"
"(30, 36, 0)"
"(32, 25, 45)"
"(8, 6, 11)"
"(16, 10, 39)"
"(33, 29, 41)"
"(43, 34, 16)"
"(37, 1, 26)"
"(1, 8, 48)"
"(15, 41, 5)"
"(30, 29, 9)"
"(30, 4, 47)"
"(26, 36, 49)"
"(10, 5, 26)"
"(9, 20, 3)"
"(26, 40, 5)"
"(36, 46, 25)"
"(32, 49, 3)"
"(46, 37, 3)"
"(4, 6, 45)"
"(29, 11, 24)"
"(5, 36, 48)"
"(17, 20, 29)"
"(6, 24, 43)"
"(10, 0, 29)"
"(28, 39, 15)"
"(48, 24, 34)"
"(41, 22, 46)"
"(15, 16, 43)"
"(25, 0, 14)"
"(13, 18, 17)"
"(4, 4, 47)"
"(6, 0, 8)"
"(1, 5, 47)"
"(15, 34, 1)"
"(14, 15, 33)"
"(15, 42, 9)"
"(21, 27, 27)"
"(28, 28, 36)"
"(33, 6, 48)"
"(10, 13, 11)"
"(24, 41, 11)"
"(15, 14, 10)"
"(7, 21, 37)"
"(39, 44, 9)"
"(0, 37, 18)"
"(9, 5, 37)"
"(28, 31, 16)"
"(27, 34, 26)"
"(35, 16, 10)"
"(18, 48, 21)"
"(39, 16, 48)"
"(5, 27, 44)"
"(5, 1, 26)"
"(13, 1, 45)"
"(4, 7, 18)"
"(38, 17, 26)"
"(3, 36, 27)"
"(10, 23, 17)"
"(36, 6, 31)"
"(3, 20, 15)"
"(2, 1, 37)"
"(23, 9, 0)"
"(0, 30, 18)"
"(29, 49, 45)"
"(0, 28, 27)"
"(29, 25, 30)"
"(14, 33, 31)"
"(36, 42, 1)"
"(25, 9, 25)"
"(36, 22, 31)"
"(19, 28, 11)"
"(27, 27, 15)"
"(26, 24, 11)"
"(36, 11, 48)"
"(20, 49, 41)"
"(12, 37, 43)"
"(47, 0, 10)"
"(1, 33, 15)"
"(47, 49, 20)"
"(15, 12, 29)"
"(25, 34, 37)"
"(29, 6, 20)"
"(29, 29, 28)"
"(9, 23, 22)"
"(40, 34, 8)"
"(39, 17, 2)"
"(43, 41, 6)"
"(18, 14, 7)"
"(34, 40, 18)"
"(30, 46, 34)"
"(29, 44, 24)"
"(22, 10, 3)"
"(4, 41, 29)"
"(14, 35, 8)"
"(25, 49, 31)"
"(31, 33, 2)"
