"(47, 41, 52)"
"(60, 16, 1)"
"(22, 7, 63)"
"(59, 62, 69)"
"(71, 37, 0)"
"(11, 11, 46)"
"(19, 4, 13)"
"(13, 52, 36)"
"(61, 33, 15)"
"(28, 33, 71)"
"(35, 69, 24)"
"(8, 34, 9)"
"(44, 11, 26)"
"(6, 61, 33)"
"(59, 40, 15)"
"(27, 28, 48)"
"(11, 11, 27)"
"(50, 25, 52)"
"(30, 4, 60)"
"(9, 58, 47)"
"(8, 15, 6)"
"(4, 40, 71)"
"(46, 32, 46)"
"(31, 66, 46)"
"(20, 9, 4)"
"(56, 53, 19)"
"(54, 62, 64)"
"(11, 30, 51)"
"(63, 71, 35)"
"(68, 65, 56)"
"(40, 36, 9)"
"(50, 65, 72)"
"(58, 45, 23)"
"(51, 15, 58)"
"(2, 4, 13)"
"(23, 52, 31)"
"(9, 63, 7)"
"(36, 0, 38)"
"(45, 63, 16)"
"(31, 26, 34)"
"(17, 36, 25)"
"(24, 72, 71)"
"(70, 23, 63)"
"(22, 34, 21)"
"(63, 72, 47)"
"(65, 11, 19)"
"(8, 58, 32)"
"(46, 17, 54)"
"(30, 8, 60)"
"(40, 0, 19)"
"(6, 12, 39)"
"(17, 65, 28)"
"(5, 72, 38)"
"(20, 43, 26)"
"(13, 61, 19)"
"(64, 8, 39)"
"(41, 62, 12)"
"(51, 23, 8)"
"(13, 16, 16)"
"(6, 65, 19)"
"(37, 69, 29)"
"(62, 62, 67)"
"(44, 57, 8)"
"(3, 56, 21)"
"(6, 20, 53)"
"(58, 39, 12)"
"(69, 38, 33)"
"(45, 6, 42)"
"(62, 50, 25)"
"(25, 38, 62)"
"(54, 59, 32)"
"(13, 42, 56)"
"(28, 37, 18)"
"(21, 55, 65)"
"(64, 65, 71)"
"(42, 60, 60)"
"(18, 32, 52)"
"(22, 64, 30)"
"(15, 4, 20)"
"(15, 48, 50)"
"(33, 54, 1)"
"(11, 72, 6)"
"(57, 42, 72)"
"(27, 10, 23)"
"(39, 51, 60)"
"(62, 34, 10)"
"(34, 68, 67)"
"(43, 24, 29)"
"(55, 7, 1)"
"(52, 1, 72)"
"(72, 0, 24)"
"(71, 32, 45)"
"(1, 32, 33)"
"(11, 9, 45)"
"(72, 42, 36)"
"(61, 19, 33)"
"(25, 59, 43)"
"(43, 36, 65)"
"(3, 7, 63)"
"(49, 44, 21)"
